,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
47,47,0.9433061722289979,2025-01-02 04:13:40.976469,2025-01-02 04:13:50.532877,0 days 00:00:09.556408,4,95,75.0,45.0,80.0,,,,,,,3,2.0,3.0,5.0,,,,,,,COMPLETE
48,48,0.9449376109624665,2025-01-02 04:13:50.533434,2025-01-02 04:14:01.623440,0 days 00:00:11.090006,3,70,25.0,75.0,,,,,,,,4,5.0,4.0,,,,,,,,COMPLETE
49,49,0.9308747065906808,2025-01-02 04:14:01.623881,2025-01-02 04:14:05.360663,0 days 00:00:03.736782,1,100,,,,,,,,,,3,,,,,,,,,,COMPLETE
50,50,0.9271326516318812,2025-01-02 04:14:05.361069,2025-01-02 04:14:18.734417,0 days 00:00:13.373348,5,75,100.0,90.0,60.0,50.0,,,,,,6,4.0,3.0,4.0,3.0,,,,,,COMPLETE
51,51,0.9509232640424591,2025-01-02 04:14:18.734952,2025-01-02 04:14:26.953999,0 days 00:00:08.219047,3,60,90.0,60.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
52,52,0.9549998749996528,2025-01-02 04:14:26.954417,2025-01-02 04:14:35.965353,0 days 00:00:09.010936,3,45,95.0,60.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
53,53,0.9399893314366998,2025-01-02 04:14:35.965897,2025-01-02 04:14:43.497490,0 days 00:00:07.531593,3,45,95.0,50.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
54,54,0.9608066822853772,2025-01-02 04:14:43.497905,2025-01-02 04:14:46.884748,0 days 00:00:03.386843,2,40,85.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
55,55,0.9624705757961926,2025-01-02 04:14:46.885161,2025-01-02 04:14:50.777461,0 days 00:00:03.892300,2,20,85.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
56,56,0.9517449506485596,2025-01-02 04:14:50.777862,2025-01-02 04:14:53.618535,0 days 00:00:02.840673,1,20,,,,,,,,,,2,,,,,,,,,,COMPLETE
57,57,0.9387895074151946,2025-01-02 04:14:53.618923,2025-01-02 04:14:57.469285,0 days 00:00:03.850362,2,35,70.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
58,58,0.9461323008485047,2025-01-02 04:14:57.469684,2025-01-02 04:15:01.920022,0 days 00:00:04.450338,2,15,80.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
59,59,0.9540229885057472,2025-01-02 04:15:01.920425,2025-01-02 04:15:04.023229,0 days 00:00:02.102804,1,40,,,,,,,,,,2,,,,,,,,,,COMPLETE
60,60,0.95229465216076,2025-01-02 04:15:04.023572,2025-01-02 04:15:07.607468,0 days 00:00:03.583896,2,50,85.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
61,61,0.950586297612088,2025-01-02 04:15:07.607870,2025-01-02 04:15:11.239858,0 days 00:00:03.631988,2,25,85.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
62,62,0.9441176634260625,2025-01-02 04:15:11.240251,2025-01-02 04:15:19.445013,0 days 00:00:08.204762,3,35,95.0,80.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
63,63,0.93938024094207,2025-01-02 04:15:19.445446,2025-01-02 04:15:23.279582,0 days 00:00:03.834136,2,30,75.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
64,64,0.9453640886476707,2025-01-02 04:15:23.279997,2025-01-02 04:15:25.504650,0 days 00:00:02.224653,1,50,,,,,,,,,,2,,,,,,,,,,COMPLETE
65,65,0.946478558145388,2025-01-02 04:15:25.505034,2025-01-02 04:15:35.478790,0 days 00:00:09.973756,3,90,85.0,40.0,,,,,,,,2,3.0,5.0,,,,,,,,COMPLETE
66,66,0.9510468319559229,2025-01-02 04:15:35.479246,2025-01-02 04:15:38.456709,0 days 00:00:02.977463,2,40,70.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
67,67,0.9426269382791121,2025-01-02 04:15:38.457109,2025-01-02 04:15:42.102408,0 days 00:00:03.645299,1,10,,,,,,,,,,2,,,,,,,,,,COMPLETE
68,68,0.9431258547062328,2025-01-02 04:15:42.102822,2025-01-02 04:15:49.869510,0 days 00:00:07.766688,3,45,90.0,35.0,,,,,,,,3,2.0,6.0,,,,,,,,COMPLETE
69,69,0.9447602528954289,2025-01-02 04:15:49.869946,2025-01-02 04:15:54.280205,0 days 00:00:04.410259,2,95,80.0,,,,,,,,,3,3.0,,,,,,,,,COMPLETE
70,70,0.9515037961940184,2025-01-02 04:15:54.280603,2025-01-02 04:16:21.118776,0 days 00:00:26.838173,9,85,95.0,65.0,40.0,90.0,35.0,80.0,45.0,10.0,,2,2.0,5.0,3.0,5.0,5.0,5.0,2.0,6.0,,COMPLETE
