,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
59,59,0.719551282051282,2025-01-01 13:53:18.822765,2025-01-01 13:54:00.527795,0 days 00:00:41.705030,10,85,40.0,20.0,95.0,40.0,15.0,40.0,20.0,60.0,80.0,3,2.0,3.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,COMPLETE
60,60,0.595878889823381,2025-01-01 13:54:00.528925,2025-01-01 13:54:32.709246,0 days 00:00:32.180321,10,85,40.0,25.0,90.0,40.0,15.0,40.0,20.0,55.0,85.0,3,2.0,2.0,6.0,3.0,2.0,3.0,3.0,6.0,4.0,COMPLETE
61,61,0.6198479391756703,2025-01-01 13:54:32.710295,2025-01-01 13:55:15.496642,0 days 00:00:42.786347,10,90,40.0,20.0,100.0,45.0,15.0,55.0,20.0,70.0,60.0,3,2.0,3.0,6.0,5.0,2.0,2.0,2.0,5.0,4.0,COMPLETE
62,62,0.6124031007751938,2025-01-01 13:55:15.497416,2025-01-01 13:55:43.166528,0 days 00:00:27.669112,9,95,45.0,35.0,90.0,30.0,15.0,30.0,45.0,35.0,,3,2.0,3.0,6.0,5.0,2.0,3.0,3.0,4.0,,COMPLETE
63,63,0.5657142857142857,2025-01-01 13:55:43.167509,2025-01-01 13:56:12.544766,0 days 00:00:29.377257,6,85,65.0,5.0,5.0,40.0,5.0,,,,,3,3.0,3.0,5.0,6.0,6.0,,,,,COMPLETE
64,64,0.5245969408846631,2025-01-01 13:56:12.545362,2025-01-01 13:56:28.413284,0 days 00:00:15.867922,8,45,30.0,30.0,95.0,55.0,35.0,70.0,5.0,,,4,2.0,4.0,2.0,5.0,3.0,4.0,2.0,,,COMPLETE
65,65,0.6394230769230769,2025-01-01 13:56:28.413955,2025-01-01 13:57:03.498079,0 days 00:00:35.084124,9,70,55.0,15.0,70.0,35.0,60.0,45.0,20.0,75.0,,3,4.0,2.0,5.0,4.0,2.0,2.0,4.0,5.0,,COMPLETE
66,66,0.5066495066495067,2025-01-01 13:57:03.498931,2025-01-01 13:57:32.509278,0 days 00:00:29.010347,7,80,35.0,20.0,80.0,25.0,20.0,90.0,,,,2,3.0,3.0,6.0,5.0,6.0,3.0,,,,COMPLETE
67,67,0.5708333333333333,2025-01-01 13:57:32.509942,2025-01-01 13:57:52.743197,0 days 00:00:20.233255,6,65,50.0,70.0,60.0,100.0,80.0,,,,,3,2.0,3.0,5.0,2.0,3.0,,,,,COMPLETE
68,68,0.5833333333333333,2025-01-01 13:57:52.743796,2025-01-01 13:58:20.746617,0 days 00:00:28.002821,7,75,80.0,45.0,85.0,80.0,50.0,50.0,,,,4,5.0,4.0,6.0,3.0,4.0,2.0,,,,COMPLETE
