,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
52,52,0.0,2025-01-01 08:25:23.299215,2025-01-01 08:25:26.060001,0 days 00:00:02.760786,3,160,160.0,,,,,,,,,,,10.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
53,53,0.8485714285714285,2025-01-01 08:25:26.060390,2025-01-01 08:25:30.098886,0 days 00:00:04.038496,2,130,150.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.8284313725490196,2025-01-01 08:25:30.099257,2025-01-01 08:25:32.709835,0 days 00:00:02.610578,1,185,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.835016835016835,2025-01-01 08:25:32.710204,2025-01-01 08:25:37.283497,0 days 00:00:04.573293,2,150,165.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.8599439775910365,2025-01-01 08:25:37.283883,2025-01-01 08:25:43.986262,0 days 00:00:06.702379,3,35,175.0,,,,,,,,,,,35.0,,,,,,,,6,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
57,57,0.0,2025-01-01 08:25:43.986683,2025-01-01 08:25:46.725467,0 days 00:00:02.738784,4,20,150.0,,,,,,,,,,,70.0,155.0,,,,,,,4,3.0,,,,,,,,,,,5.0,4.0,,,,,,,COMPLETE
58,58,0.8193496587715776,2025-01-01 08:25:46.725892,2025-01-01 08:25:49.146760,0 days 00:00:02.420868,1,85,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.8199279711884754,2025-01-01 08:25:49.147100,2025-01-01 08:25:55.135272,0 days 00:00:05.988172,3,45,120.0,,,,,,,,,,,50.0,,,,,,,,2,6.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
60,60,0.0,2025-01-01 08:25:55.135668,2025-01-01 08:25:58.583368,0 days 00:00:03.447700,5,10,190.0,,,,,,,,,,,135.0,30.0,60.0,,,,,,3,2.0,,,,,,,,,,,4.0,6.0,6.0,,,,,,COMPLETE
61,61,0.8081632653061225,2025-01-01 08:25:58.583847,2025-01-01 08:26:06.376671,0 days 00:00:07.792824,3,30,180.0,,,,,,,,,,,30.0,,,,,,,,6,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
62,62,0.76759410801964,2025-01-01 08:26:06.377080,2025-01-01 08:26:11.418412,0 days 00:00:05.041332,2,35,175.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.6465306122448979,2025-01-01 08:26:11.418805,2025-01-01 08:26:20.971466,0 days 00:00:09.552661,4,20,105.0,,,,,,,,,,,40.0,95.0,,,,,,,6,5.0,,,,,,,,,,,6.0,5.0,,,,,,,COMPLETE
64,64,0.7987117552334944,2025-01-01 08:26:20.971914,2025-01-01 08:26:23.866495,0 days 00:00:02.894581,1,40,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.8999599839935974,2025-01-01 08:26:23.866845,2025-01-01 08:26:31.474798,0 days 00:00:07.607953,3,50,195.0,,,,,,,,,,,100.0,,,,,,,,5,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
66,66,0.7312939231087227,2025-01-01 08:26:31.475334,2025-01-01 08:26:40.579820,0 days 00:00:09.104486,4,60,195.0,,,,,,,,,,,95.0,15.0,,,,,,,5,6.0,,,,,,,,,,,6.0,3.0,,,,,,,COMPLETE
67,67,0.0,2025-01-01 08:26:40.580276,2025-01-01 08:26:44.710672,0 days 00:00:04.130396,6,50,130.0,,,,,,,,,,,155.0,55.0,30.0,115.0,,,,,5,3.0,,,,,,,,,,,5.0,6.0,3.0,5.0,,,,,COMPLETE
