,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
52,52,0.6714285714285715,2025-01-08 12:26:14.126280,2025-01-08 12:26:18.708762,0 days 00:00:04.582482,4,1,2,15,50.0,,,,,,10.0,15.0,,,,,,,COMPLETE
53,53,0.4845088991430455,2025-01-08 12:26:18.709421,2025-01-08 12:26:24.030517,0 days 00:00:05.321096,5,1,2,15,50.0,,,,,,10.0,15.0,20.0,,,,,,COMPLETE
54,54,0.0,2025-01-08 12:26:24.031974,2025-01-08 12:26:29.380049,0 days 00:00:05.348075,4,1,3,10,50.0,,,,,,5.0,15.0,,,,,,,COMPLETE
55,55,0.6532763532763532,2025-01-08 12:26:29.381280,2025-01-08 12:26:33.761356,0 days 00:00:04.380076,4,1,2,10,50.0,,,,,,10.0,20.0,,,,,,,COMPLETE
56,56,0.0,2025-01-08 12:26:33.762488,2025-01-08 12:26:42.422968,0 days 00:00:08.660480,7,1,3,15,45.0,,,,,,15.0,10.0,35.0,40.0,5.0,,,,COMPLETE
57,57,0.04,2025-01-08 12:26:42.424394,2025-01-08 12:26:47.603658,0 days 00:00:05.179264,5,1,2,10,50.0,,,,,,10.0,15.0,45.0,,,,,,COMPLETE
58,58,0.40512820512820513,2025-01-08 12:26:47.604385,2025-01-08 12:26:54.638936,0 days 00:00:07.034551,7,1,2,15,45.0,,,,,,5.0,20.0,10.0,45.0,15.0,,,,COMPLETE
59,59,0.0,2025-01-08 12:26:54.640157,2025-01-08 12:26:59.340581,0 days 00:00:04.700424,4,1,3,25,40.0,,,,,,10.0,25.0,,,,,,,COMPLETE
60,60,0.0,2025-01-08 12:26:59.341819,2025-01-08 12:27:03.352061,0 days 00:00:04.010242,3,1,2,15,50.0,,,,,,15.0,,,,,,,,COMPLETE
61,61,0.6532763532763532,2025-01-08 12:27:03.353277,2025-01-08 12:27:07.734187,0 days 00:00:04.380910,4,1,2,10,50.0,,,,,,10.0,20.0,,,,,,,COMPLETE
62,62,0.23809523809523808,2025-01-08 12:27:07.735335,2025-01-08 12:27:12.161180,0 days 00:00:04.425845,4,1,2,10,50.0,,,,,,5.0,10.0,,,,,,,COMPLETE
63,63,0.6711229946524064,2025-01-08 12:27:12.162284,2025-01-08 12:27:17.611929,0 days 00:00:05.449645,5,1,2,15,45.0,,,,,,10.0,15.0,50.0,,,,,,COMPLETE
64,64,0.49489795918367346,2025-01-08 12:27:17.613191,2025-01-08 12:27:23.376873,0 days 00:00:05.763682,6,1,1,20,45.0,,,,,,15.0,5.0,50.0,45.0,,,,,COMPLETE
65,65,0.4391304347826087,2025-01-08 12:27:23.378197,2025-01-08 12:27:28.692567,0 days 00:00:05.314370,5,5,2,20,45.0,,,,,,5.0,15.0,50.0,,,,,,COMPLETE
66,66,0.7009090909090909,2025-01-08 12:27:28.693989,2025-01-08 12:27:32.554307,0 days 00:00:03.860318,3,3,2,15,50.0,,,,,,20.0,,,,,,,,COMPLETE
67,67,0.5886977886977887,2025-01-08 12:27:32.555395,2025-01-08 12:27:36.792519,0 days 00:00:04.237124,2,5,3,35,45.0,,,,,,,,,,,,,,COMPLETE
68,68,0.5601617795753286,2025-01-08 12:27:36.793664,2025-01-08 12:27:43.509660,0 days 00:00:06.715996,5,3,3,25,40.0,,,,,,20.0,10.0,45.0,,,,,,COMPLETE
69,69,0.5273273273273273,2025-01-08 12:27:43.511021,2025-01-08 12:27:49.820228,0 days 00:00:06.309207,6,5,2,20,50.0,,,,,,20.0,15.0,25.0,35.0,,,,,COMPLETE
70,70,0.595959595959596,2025-01-08 12:27:49.821626,2025-01-08 12:27:53.671522,0 days 00:00:03.849896,3,3,1,30,50.0,,,,,,10.0,,,,,,,,COMPLETE
71,71,0.666599597585513,2025-01-08 12:27:53.672890,2025-01-08 12:27:57.536666,0 days 00:00:03.863776,3,1,2,15,50.0,,,,,,5.0,,,,,,,,COMPLETE
72,72,0.666599597585513,2025-01-08 12:27:57.537864,2025-01-08 12:28:00.694426,0 days 00:00:03.156562,2,1,2,15,45.0,,,,,,,,,,,,,,COMPLETE
73,73,0.0,2025-01-08 12:28:00.695898,2025-01-08 12:28:04.547535,0 days 00:00:03.851637,3,1,2,15,50.0,,,,,,10.0,,,,,,,,COMPLETE
74,74,0.11538461538461539,2025-01-08 12:28:04.548749,2025-01-08 12:28:08.848790,0 days 00:00:04.300041,4,1,2,10,45.0,,,,,,15.0,5.0,,,,,,,COMPLETE
75,75,0.6356589147286822,2025-01-08 12:28:08.850091,2025-01-08 12:28:11.703897,0 days 00:00:02.853806,1,3,2,35,,,,,,,,,,,,,,,COMPLETE
76,76,0.0,2025-01-08 12:28:11.705192,2025-01-08 12:28:17.485509,0 days 00:00:05.780317,5,1,3,15,50.0,,,,,,10.0,25.0,40.0,,,,,,COMPLETE
77,77,0.7229024943310658,2025-01-08 12:28:17.486689,2025-01-08 12:28:20.874623,0 days 00:00:03.387934,3,1,1,20,50.0,,,,,,5.0,,,,,,,,COMPLETE
78,78,0.6719387755102041,2025-01-08 12:28:20.875850,2025-01-08 12:28:23.841379,0 days 00:00:02.965529,2,3,1,20,40.0,,,,,,,,,,,,,,COMPLETE
79,79,0.5834175935288171,2025-01-08 12:28:23.842600,2025-01-08 12:28:26.509373,0 days 00:00:02.666773,2,3,1,20,35.0,,,,,,,,,,,,,,COMPLETE
80,80,0.5445134575569358,2025-01-08 12:28:26.510626,2025-01-08 12:28:28.565234,0 days 00:00:02.054608,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
81,81,0.5299417064122947,2025-01-08 12:28:28.566384,2025-01-08 12:28:31.493941,0 days 00:00:02.927557,2,5,1,20,45.0,,,,,,,,,,,,,,COMPLETE
82,82,0.715359828141783,2025-01-08 12:28:31.495162,2025-01-08 12:28:35.052854,0 days 00:00:03.557692,3,3,1,20,40.0,,,,,,25.0,,,,,,,,COMPLETE
83,83,0.0,2025-01-08 12:28:35.054118,2025-01-08 12:28:46.680228,0 days 00:00:11.626110,14,3,1,20,30.0,5.0,15.0,50.0,5.0,,25.0,30.0,5.0,10.0,45.0,50.0,40.0,50.0,COMPLETE
