,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
103,103,0.865546218487395,2025-01-08 11:17:10.722773,2025-01-08 11:17:14.495959,0 days 00:00:03.773186,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
104,104,0.865546218487395,2025-01-08 11:17:14.500826,2025-01-08 11:17:18.274576,0 days 00:00:03.773750,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
105,105,0.7156589445352302,2025-01-08 11:17:18.275245,2025-01-08 11:17:23.171957,0 days 00:00:04.896712,4,5,3,5,20.0,,,,,,50.0,30.0,,,,,,,COMPLETE
106,106,0.865546218487395,2025-01-08 11:17:23.172626,2025-01-08 11:17:26.941364,0 days 00:00:03.768738,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
107,107,0.865546218487395,2025-01-08 11:17:26.946442,2025-01-08 11:17:30.712997,0 days 00:00:03.766555,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
108,108,0.7437229437229438,2025-01-08 11:17:30.717778,2025-01-08 11:17:35.704684,0 days 00:00:04.986906,4,5,3,10,20.0,,,,,,50.0,35.0,,,,,,,COMPLETE
109,109,0.7846153846153847,2025-01-08 11:17:35.705514,2025-01-08 11:17:39.348089,0 days 00:00:03.642575,3,5,3,5,20.0,,,,,,45.0,,,,,,,,COMPLETE
110,110,0.783875943817488,2025-01-08 11:17:39.351538,2025-01-08 11:17:42.670098,0 days 00:00:03.318560,2,5,4,10,15.0,,,,,,,,,,,,,,COMPLETE
111,111,0.865546218487395,2025-01-08 11:17:42.671085,2025-01-08 11:17:46.444078,0 days 00:00:03.772993,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
112,112,0.865546218487395,2025-01-08 11:17:46.447125,2025-01-08 11:17:50.339990,0 days 00:00:03.892865,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
113,113,0.865546218487395,2025-01-08 11:17:50.340770,2025-01-08 11:17:54.117908,0 days 00:00:03.777138,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
114,114,0.7743144268438085,2025-01-08 11:17:54.118635,2025-01-08 11:17:58.914330,0 days 00:00:04.795695,4,5,3,10,20.0,,,,,,50.0,25.0,,,,,,,COMPLETE
115,115,0.771551724137931,2025-01-08 11:17:58.922707,2025-01-08 11:18:02.613446,0 days 00:00:03.690739,3,5,3,5,20.0,,,,,,50.0,,,,,,,,COMPLETE
116,116,0.7772686433063791,2025-01-08 11:18:02.617156,2025-01-08 11:18:07.335452,0 days 00:00:04.718296,4,5,3,10,20.0,,,,,,50.0,20.0,,,,,,,COMPLETE
117,117,0.7960321364158058,2025-01-08 11:18:07.336204,2025-01-08 11:18:11.017115,0 days 00:00:03.680911,3,5,3,10,15.0,,,,,,50.0,,,,,,,,COMPLETE
118,118,0.7392163910855499,2025-01-08 11:18:11.017581,2025-01-08 11:18:16.171639,0 days 00:00:05.154058,4,5,3,5,20.0,,,,,,50.0,50.0,,,,,,,COMPLETE
119,119,0.7454545454545455,2025-01-08 11:18:16.172484,2025-01-08 11:18:19.944719,0 days 00:00:03.772235,3,5,3,10,20.0,,,,,,45.0,,,,,,,,COMPLETE
120,120,0.8095897524666782,2025-01-08 11:18:19.948968,2025-01-08 11:18:23.764868,0 days 00:00:03.815900,3,7,3,10,25.0,,,,,,50.0,,,,,,,,COMPLETE
121,121,0.7454545454545455,2025-01-08 11:18:23.770724,2025-01-08 11:18:27.543172,0 days 00:00:03.772448,3,5,3,10,20.0,,,,,,45.0,,,,,,,,COMPLETE
122,122,0.0,2025-01-08 11:18:27.544159,2025-01-08 11:18:40.402837,0 days 00:00:12.858678,11,5,3,10,25.0,20.0,,,,,50.0,15.0,50.0,45.0,35.0,35.0,15.0,5.0,COMPLETE
123,123,0.7365071493511861,2025-01-08 11:18:40.403921,2025-01-08 11:18:43.116234,0 days 00:00:02.712313,2,5,3,10,20.0,,,,,,,,,,,,,,COMPLETE
124,124,0.7766955266955267,2025-01-08 11:18:43.117713,2025-01-08 11:18:46.757258,0 days 00:00:03.639545,3,5,3,5,15.0,,,,,,45.0,,,,,,,,COMPLETE
125,125,0.7365071493511861,2025-01-08 11:18:46.758570,2025-01-08 11:18:49.465033,0 days 00:00:02.706463,2,5,3,10,20.0,,,,,,,,,,,,,,COMPLETE
126,126,0.7055783429040197,2025-01-08 11:18:49.466646,2025-01-08 11:18:54.177908,0 days 00:00:04.711262,3,7,4,10,25.0,,,,,,50.0,,,,,,,,COMPLETE
127,127,0.7602439024390244,2025-01-08 11:18:54.178674,2025-01-08 11:18:58.925042,0 days 00:00:04.746368,4,5,3,5,20.0,,,,,,50.0,5.0,,,,,,,COMPLETE
128,128,0.7921568627450981,2025-01-08 11:18:58.928822,2025-01-08 11:19:01.660679,0 days 00:00:02.731857,2,5,3,10,15.0,,,,,,,,,,,,,,COMPLETE
129,129,0.865546218487395,2025-01-08 11:19:01.662257,2025-01-08 11:19:05.433695,0 days 00:00:03.771438,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
130,130,0.865546218487395,2025-01-08 11:19:05.438333,2025-01-08 11:19:09.213124,0 days 00:00:03.774791,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
131,131,0.865546218487395,2025-01-08 11:19:09.213922,2025-01-08 11:19:13.111582,0 days 00:00:03.897660,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
132,132,0.865546218487395,2025-01-08 11:19:13.115258,2025-01-08 11:19:16.891419,0 days 00:00:03.776161,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
133,133,0.865546218487395,2025-01-08 11:19:16.892003,2025-01-08 11:19:20.665548,0 days 00:00:03.773545,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
134,134,0.865546218487395,2025-01-08 11:19:20.666319,2025-01-08 11:19:24.440609,0 days 00:00:03.774290,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
135,135,0.75,2025-01-08 11:19:24.441195,2025-01-08 11:19:29.470055,0 days 00:00:05.028860,4,5,3,10,20.0,,,,,,50.0,45.0,,,,,,,COMPLETE
136,136,0.865546218487395,2025-01-08 11:19:29.471101,2025-01-08 11:19:33.240166,0 days 00:00:03.769065,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
