,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
77,77,0.8983967731398896,2025-01-08 00:52:42.283714,2025-01-08 00:52:53.978396,0 days 00:00:11.694682,1,9,1,35,,,,,,,,,,,,,,,COMPLETE
78,78,0.8556878377181327,2025-01-08 00:52:53.979343,2025-01-08 00:53:03.542224,0 days 00:00:09.562881,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
79,79,0.8146787270442419,2025-01-08 00:53:03.542993,2025-01-08 00:53:17.878118,0 days 00:00:14.335125,1,9,2,35,,,,,,,,,,,,,,,COMPLETE
80,80,0.8696719731613691,2025-01-08 00:53:17.878893,2025-01-08 00:53:33.917534,0 days 00:00:16.038641,3,9,1,25,10.0,,,,,,20.0,,,,,,,,COMPLETE
81,81,0.8764850605347948,2025-01-08 00:53:33.918276,2025-01-08 00:53:49.906956,0 days 00:00:15.988680,2,9,1,35,25.0,,,,,,,,,,,,,,COMPLETE
82,82,0.8347660899105567,2025-01-08 00:53:49.907759,2025-01-08 00:54:00.515848,0 days 00:00:10.608089,1,7,1,30,,,,,,,,,,,,,,,COMPLETE
83,83,0.8859958316013248,2025-01-08 00:54:00.516828,2025-01-08 00:54:17.278574,0 days 00:00:16.761746,2,9,1,35,35.0,,,,,,,,,,,,,,COMPLETE
84,84,0.8847796583032213,2025-01-08 00:54:17.279414,2025-01-08 00:54:28.326130,0 days 00:00:11.046716,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
85,85,0.6094097669381612,2025-01-08 00:54:28.326884,2025-01-08 00:55:12.204805,0 days 00:00:43.877921,8,9,1,25,35.0,,,,,,10.0,50.0,45.0,20.0,35.0,50.0,,,COMPLETE
86,86,0.8795633733970128,2025-01-08 00:55:12.205912,2025-01-08 00:55:26.547773,0 days 00:00:14.341861,2,7,1,30,20.0,,,,,,,,,,,,,,COMPLETE
