,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
89,89,0.0,2025-01-08 14:10:58.970045,2025-01-08 14:11:47.643424,0 days 00:00:48.673379,15,5,1,20,45.0,25.0,50.0,5.0,5.0,5.0,40.0,5.0,10.0,30.0,30.0,10.0,15.0,20.0,COMPLETE
90,90,0.8725403699329384,2025-01-08 14:11:47.644574,2025-01-08 14:12:03.737270,0 days 00:00:16.092696,3,5,2,20,40.0,,,,,,45.0,,,,,,,,COMPLETE
91,91,0.8812512944235256,2025-01-08 14:12:03.738618,2025-01-08 14:12:14.804004,0 days 00:00:11.065386,2,5,2,15,50.0,,,,,,,,,,,,,,COMPLETE
92,92,0.8868887258011364,2025-01-08 14:12:14.805352,2025-01-08 14:12:21.282602,0 days 00:00:06.477250,1,5,2,10,,,,,,,,,,,,,,,COMPLETE
93,93,0.8846294638672623,2025-01-08 14:12:21.285735,2025-01-08 14:12:33.648260,0 days 00:00:12.362525,2,5,2,25,45.0,,,,,,,,,,,,,,COMPLETE
94,94,0.8472849562211203,2025-01-08 14:12:33.649556,2025-01-08 14:12:41.276157,0 days 00:00:07.626601,1,5,2,20,,,,,,,,,,,,,,,COMPLETE
95,95,0.8926474573022858,2025-01-08 14:12:41.281852,2025-01-08 14:12:48.351878,0 days 00:00:07.070026,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
96,96,0.7132487326177837,2025-01-08 14:12:48.356826,2025-01-08 14:13:10.290638,0 days 00:00:21.933812,7,7,1,20,35.0,,,,,,20.0,25.0,20.0,15.0,50.0,,,,COMPLETE
97,97,0.8861409137530158,2025-01-08 14:13:10.291350,2025-01-08 14:13:20.150899,0 days 00:00:09.859549,2,5,2,10,40.0,,,,,,,,,,,,,,COMPLETE
98,98,0.8989612489488217,2025-01-08 14:13:20.151811,2025-01-08 14:13:27.081166,0 days 00:00:06.929355,1,5,2,15,,,,,,,,,,,,,,,COMPLETE
99,99,0.8707983470549037,2025-01-08 14:13:27.081706,2025-01-08 14:13:37.277294,0 days 00:00:10.195588,2,5,2,20,25.0,,,,,,,,,,,,,,COMPLETE
100,100,0.8825869509134829,2025-01-08 14:13:37.278900,2025-01-08 14:13:52.447556,0 days 00:00:15.168656,3,5,2,15,50.0,,,,,,30.0,,,,,,,,COMPLETE
101,101,0.8989612489488217,2025-01-08 14:13:52.449147,2025-01-08 14:13:59.503195,0 days 00:00:07.054048,1,5,2,15,,,,,,,,,,,,,,,COMPLETE
102,102,0.8989612489488217,2025-01-08 14:13:59.509337,2025-01-08 14:14:06.434406,0 days 00:00:06.925069,1,5,2,15,,,,,,,,,,,,,,,COMPLETE
103,103,0.8868887258011364,2025-01-08 14:14:06.439399,2025-01-08 14:14:12.915980,0 days 00:00:06.476581,1,5,2,10,,,,,,,,,,,,,,,COMPLETE
104,104,0.884849993333037,2025-01-08 14:14:12.919169,2025-01-08 14:14:22.877342,0 days 00:00:09.958173,2,5,2,15,30.0,,,,,,,,,,,,,,COMPLETE
105,105,0.8472849562211203,2025-01-08 14:14:22.879004,2025-01-08 14:14:30.507775,0 days 00:00:07.628771,1,5,2,20,,,,,,,,,,,,,,,COMPLETE
106,106,0.9018177208460589,2025-01-08 14:14:30.511525,2025-01-08 14:14:39.587463,0 days 00:00:09.075938,2,5,2,15,10.0,,,,,,,,,,,,,,COMPLETE
107,107,0.8735980951731641,2025-01-08 14:14:39.591203,2025-01-08 14:14:54.195865,0 days 00:00:14.604662,3,5,3,25,10.0,,,,,,20.0,,,,,,,,COMPLETE
108,108,0.8735884465493173,2025-01-08 14:14:54.196977,2025-01-08 14:15:04.001417,0 days 00:00:09.804440,2,5,3,10,15.0,,,,,,,,,,,,,,COMPLETE
