,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
58,58,0.6448111159357359,2025-01-08 10:12:05.144187,2025-01-08 10:12:11.642430,0 days 00:00:06.498243,6,3,2,10,5.0,,,,,,5.0,5.0,35.0,20.0,,,,,COMPLETE
59,59,0.135632183908046,2025-01-08 10:12:11.643526,2025-01-08 10:12:16.538852,0 days 00:00:04.895326,5,5,2,5,5.0,,,,,,20.0,15.0,15.0,,,,,,COMPLETE
60,60,0.7192982456140351,2025-01-08 10:12:16.539707,2025-01-08 10:12:19.046326,0 days 00:00:02.506619,2,3,1,5,10.0,,,,,,,,,,,,,,COMPLETE
61,61,0.7192982456140351,2025-01-08 10:12:19.052899,2025-01-08 10:12:21.558341,0 days 00:00:02.505442,2,3,1,5,10.0,,,,,,,,,,,,,,COMPLETE
62,62,0.7192982456140351,2025-01-08 10:12:21.564897,2025-01-08 10:12:24.071735,0 days 00:00:02.506838,2,3,1,5,10.0,,,,,,,,,,,,,,COMPLETE
63,63,0.76,2025-01-08 10:12:24.072470,2025-01-08 10:12:26.839225,0 days 00:00:02.766755,2,3,1,5,5.0,,,,,,,,,,,,,,COMPLETE
64,64,0.7751436781609196,2025-01-08 10:12:26.845665,2025-01-08 10:12:28.858335,0 days 00:00:02.012670,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
65,65,0.7751436781609196,2025-01-08 10:12:28.864787,2025-01-08 10:12:30.980006,0 days 00:00:02.115219,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
66,66,0.7751436781609196,2025-01-08 10:12:30.986589,2025-01-08 10:12:32.997160,0 days 00:00:02.010571,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
67,67,0.3508771929824561,2025-01-08 10:12:33.003690,2025-01-08 10:12:36.700574,0 days 00:00:03.696884,4,5,1,5,5.0,,,,,,25.0,20.0,,,,,,,COMPLETE
68,68,0.7751436781609196,2025-01-08 10:12:36.701354,2025-01-08 10:12:38.721416,0 days 00:00:02.020062,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
69,69,0.7751436781609196,2025-01-08 10:12:38.727946,2025-01-08 10:12:40.740987,0 days 00:00:02.013041,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
70,70,0.0,2025-01-08 10:12:40.747492,2025-01-08 10:12:48.283132,0 days 00:00:07.535640,11,5,1,5,5.0,50.0,,,,,25.0,25.0,40.0,45.0,10.0,15.0,15.0,35.0,COMPLETE
71,71,0.7751436781609196,2025-01-08 10:12:48.284237,2025-01-08 10:12:50.305796,0 days 00:00:02.021559,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
72,72,0.7751436781609196,2025-01-08 10:12:50.306624,2025-01-08 10:12:52.422320,0 days 00:00:02.115696,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
73,73,0.7726333195535345,2025-01-08 10:12:52.430240,2025-01-08 10:12:54.681154,0 days 00:00:02.250914,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
74,74,0.7751436781609196,2025-01-08 10:12:54.688756,2025-01-08 10:12:56.704776,0 days 00:00:02.016020,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
75,75,0.725837504813246,2025-01-08 10:12:56.711415,2025-01-08 10:12:58.780497,0 days 00:00:02.069082,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
76,76,0.7751436781609196,2025-01-08 10:12:58.781400,2025-01-08 10:13:00.798283,0 days 00:00:02.016883,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
77,77,0.7726333195535345,2025-01-08 10:13:00.804899,2025-01-08 10:13:03.176900,0 days 00:00:02.372001,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
78,78,0.765791632485644,2025-01-08 10:13:03.184578,2025-01-08 10:13:06.251998,0 days 00:00:03.067420,2,5,1,10,5.0,,,,,,,,,,,,,,COMPLETE
79,79,0.6865793780687397,2025-01-08 10:13:06.252818,2025-01-08 10:13:09.319995,0 days 00:00:03.067177,3,7,1,5,5.0,,,,,,20.0,,,,,,,,COMPLETE
80,80,0.725837504813246,2025-01-08 10:13:09.320762,2025-01-08 10:13:11.476489,0 days 00:00:02.155727,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
81,81,0.7751436781609196,2025-01-08 10:13:11.492479,2025-01-08 10:13:13.504754,0 days 00:00:02.012275,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
82,82,0.7751436781609196,2025-01-08 10:13:13.511330,2025-01-08 10:13:15.519650,0 days 00:00:02.008320,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
83,83,0.49955357142857143,2025-01-08 10:13:15.526102,2025-01-08 10:13:18.592449,0 days 00:00:03.066347,3,5,1,5,5.0,,,,,,30.0,,,,,,,,COMPLETE
84,84,0.7726333195535345,2025-01-08 10:13:18.599199,2025-01-08 10:13:20.852846,0 days 00:00:02.253647,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
85,85,0.765791632485644,2025-01-08 10:13:20.860088,2025-01-08 10:13:24.034282,0 days 00:00:03.174194,2,5,1,10,5.0,,,,,,,,,,,,,,COMPLETE
86,86,0.6865793780687397,2025-01-08 10:13:24.035160,2025-01-08 10:13:27.101238,0 days 00:00:03.066078,3,7,1,5,5.0,,,,,,20.0,,,,,,,,COMPLETE
87,87,0.725837504813246,2025-01-08 10:13:27.101970,2025-01-08 10:13:29.151294,0 days 00:00:02.049324,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
88,88,0.6874435411020776,2025-01-08 10:13:29.167534,2025-01-08 10:13:32.297967,0 days 00:00:03.130433,3,5,1,5,5.0,,,,,,25.0,,,,,,,,COMPLETE
89,89,0.7388888888888889,2025-01-08 10:13:32.298741,2025-01-08 10:13:34.987380,0 days 00:00:02.688639,2,7,1,5,5.0,,,,,,,,,,,,,,COMPLETE
90,90,0.725837504813246,2025-01-08 10:13:34.994688,2025-01-08 10:13:37.046141,0 days 00:00:02.051453,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
91,91,0.7751436781609196,2025-01-08 10:13:37.062729,2025-01-08 10:13:39.074912,0 days 00:00:02.012183,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
92,92,0.7751436781609196,2025-01-08 10:13:39.081473,2025-01-08 10:13:41.094723,0 days 00:00:02.013250,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
93,93,0.47777777777777775,2025-01-08 10:13:41.101228,2025-01-08 10:13:44.204035,0 days 00:00:03.102807,3,5,1,5,5.0,,,,,,15.0,,,,,,,,COMPLETE
94,94,0.7506802721088436,2025-01-08 10:13:44.204866,2025-01-08 10:13:46.785311,0 days 00:00:02.580445,2,5,1,5,10.0,,,,,,,,,,,,,,COMPLETE
95,95,0.725837504813246,2025-01-08 10:13:46.786053,2025-01-08 10:13:48.837849,0 days 00:00:02.051796,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
96,96,0.7751436781609196,2025-01-08 10:13:48.854476,2025-01-08 10:13:50.876813,0 days 00:00:02.022337,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
97,97,0.601923076923077,2025-01-08 10:13:50.877556,2025-01-08 10:13:54.000838,0 days 00:00:03.123282,3,5,1,5,10.0,,,,,,25.0,,,,,,,,COMPLETE
98,98,0.0,2025-01-08 10:13:54.007746,2025-01-08 10:14:00.312635,0 days 00:00:06.304889,9,5,1,10,5.0,,,,,,35.0,45.0,10.0,10.0,25.0,25.0,20.0,,COMPLETE
99,99,0.37448979591836734,2025-01-08 10:14:00.314099,2025-01-08 10:14:04.452224,0 days 00:00:04.138125,4,5,1,5,10.0,,,,,,40.0,50.0,,,,,,,COMPLETE
100,100,0.0,2025-01-08 10:14:04.453069,2025-01-08 10:14:15.472963,0 days 00:00:11.019894,14,5,1,5,5.0,25.0,30.0,50.0,5.0,,15.0,25.0,45.0,20.0,45.0,10.0,40.0,15.0,COMPLETE
101,101,0.7751436781609196,2025-01-08 10:14:15.474147,2025-01-08 10:14:17.604875,0 days 00:00:02.130728,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
102,102,0.7751436781609196,2025-01-08 10:14:17.605739,2025-01-08 10:14:19.619663,0 days 00:00:02.013924,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
103,103,0.7751436781609196,2025-01-08 10:14:19.626167,2025-01-08 10:14:21.639606,0 days 00:00:02.013439,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
104,104,0.725837504813246,2025-01-08 10:14:21.646151,2025-01-08 10:14:23.712200,0 days 00:00:02.066049,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
105,105,0.5464285714285715,2025-01-08 10:14:23.713103,2025-01-08 10:14:27.012353,0 days 00:00:03.299250,3,7,1,5,5.0,,,,,,35.0,,,,,,,,COMPLETE
