,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
80,80,0.7310743474711086,2025-01-08 07:22:39.644650,2025-01-08 07:22:43.349952,0 days 00:00:03.705302,2,9,3,25,5.0,,,,,,,,,,,,,,COMPLETE
81,81,0.8303617975185069,2025-01-08 07:22:43.350473,2025-01-08 07:22:45.675054,0 days 00:00:02.324581,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
82,82,0.8303617975185069,2025-01-08 07:22:45.675543,2025-01-08 07:22:48.001343,0 days 00:00:02.325800,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
83,83,0.8303617975185069,2025-01-08 07:22:48.001847,2025-01-08 07:22:50.325957,0 days 00:00:02.324110,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
84,84,0.8108443251184773,2025-01-08 07:22:50.328029,2025-01-08 07:22:53.697892,0 days 00:00:03.369863,2,9,2,25,20.0,,,,,,,,,,,,,,COMPLETE
85,85,0.8285948527839168,2025-01-08 07:22:53.698410,2025-01-08 07:22:55.922012,0 days 00:00:02.223602,1,9,2,15,,,,,,,,,,,,,,,COMPLETE
86,86,0.8118200924758302,2025-01-08 07:22:55.922489,2025-01-08 07:22:59.108459,0 days 00:00:03.185970,2,9,2,20,15.0,,,,,,,,,,,,,,COMPLETE
87,87,0.575563909774436,2025-01-08 07:22:59.109105,2025-01-08 07:23:01.705374,0 days 00:00:02.596269,1,9,3,25,,,,,,,,,,,,,,,COMPLETE
88,88,0.7918945668594051,2025-01-08 07:23:01.705875,2025-01-08 07:23:04.742816,0 days 00:00:03.036941,2,9,2,15,5.0,,,,,,,,,,,,,,COMPLETE
89,89,0.8303617975185069,2025-01-08 07:23:04.743323,2025-01-08 07:23:07.197413,0 days 00:00:02.454090,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
90,90,0.8145311289072591,2025-01-08 07:23:07.200359,2025-01-08 07:23:10.482695,0 days 00:00:03.282336,2,9,2,25,15.0,,,,,,,,,,,,,,COMPLETE
91,91,0.8303617975185069,2025-01-08 07:23:10.483217,2025-01-08 07:23:12.808960,0 days 00:00:02.325743,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
92,92,0.8303617975185069,2025-01-08 07:23:12.809466,2025-01-08 07:23:15.134275,0 days 00:00:02.324809,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
93,93,0.8003837511938254,2025-01-08 07:23:15.134774,2025-01-08 07:23:18.662978,0 days 00:00:03.528204,2,9,2,20,45.0,,,,,,,,,,,,,,COMPLETE
94,94,0.8285948527839168,2025-01-08 07:23:18.663505,2025-01-08 07:23:20.887706,0 days 00:00:02.224201,1,9,2,15,,,,,,,,,,,,,,,COMPLETE
95,95,0.8108443251184773,2025-01-08 07:23:20.888170,2025-01-08 07:23:24.256752,0 days 00:00:03.368582,2,9,2,25,20.0,,,,,,,,,,,,,,COMPLETE
96,96,0.8077788058564197,2025-01-08 07:23:24.257270,2025-01-08 07:23:26.877683,0 days 00:00:02.620413,1,9,3,20,,,,,,,,,,,,,,,COMPLETE
97,97,0.7960215395017352,2025-01-08 07:23:26.878169,2025-01-08 07:23:29.856921,0 days 00:00:02.978752,2,9,2,15,10.0,,,,,,,,,,,,,,COMPLETE
98,98,0.8303617975185069,2025-01-08 07:23:29.857419,2025-01-08 07:23:32.182043,0 days 00:00:02.324624,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
99,99,0.8303617975185069,2025-01-08 07:23:32.182542,2025-01-08 07:23:34.508648,0 days 00:00:02.326106,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
100,100,0.0024096385542168677,2025-01-08 07:23:34.509129,2025-01-08 07:23:43.906887,0 days 00:00:09.397758,7,9,3,15,15.0,,,,,,25.0,45.0,40.0,10.0,20.0,,,,COMPLETE
101,101,0.8303617975185069,2025-01-08 07:23:43.907806,2025-01-08 07:23:46.241687,0 days 00:00:02.333881,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
102,102,0.8303617975185069,2025-01-08 07:23:46.242187,2025-01-08 07:23:48.565117,0 days 00:00:02.322930,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
103,103,0.8206914046444719,2025-01-08 07:23:48.565610,2025-01-08 07:23:51.774318,0 days 00:00:03.208708,2,9,2,25,5.0,,,,,,,,,,,,,,COMPLETE
104,104,0.4969345939882329,2025-01-08 07:23:51.774823,2025-01-08 07:23:54.681625,0 days 00:00:02.906802,1,1,5,20,,,,,,,,,,,,,,,COMPLETE
105,105,0.8041155637174526,2025-01-08 07:23:54.682271,2025-01-08 07:23:58.158148,0 days 00:00:03.475877,2,9,2,30,20.0,,,,,,,,,,,,,,COMPLETE
106,106,0.8303617975185069,2025-01-08 07:23:58.158637,2025-01-08 07:24:00.487870,0 days 00:00:02.329233,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
107,107,0.8145311289072591,2025-01-08 07:24:00.488346,2025-01-08 07:24:03.773745,0 days 00:00:03.285399,2,9,2,25,15.0,,,,,,,,,,,,,,COMPLETE
108,108,0.7326788206783754,2025-01-08 07:24:03.774265,2025-01-08 07:24:07.973861,0 days 00:00:04.199596,3,1,2,15,10.0,,,,,,50.0,,,,,,,,COMPLETE
109,109,0.8303617975185069,2025-01-08 07:24:07.974405,2025-01-08 07:24:10.301281,0 days 00:00:02.326876,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
110,110,0.8303617975185069,2025-01-08 07:24:10.301774,2025-01-08 07:24:12.626881,0 days 00:00:02.325107,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
111,111,0.8303617975185069,2025-01-08 07:24:12.627371,2025-01-08 07:24:14.953566,0 days 00:00:02.326195,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
112,112,0.8046398046398047,2025-01-08 07:24:14.954065,2025-01-08 07:24:18.013906,0 days 00:00:03.059841,2,9,2,20,5.0,,,,,,,,,,,,,,COMPLETE
113,113,0.8176883043634313,2025-01-08 07:24:18.014399,2025-01-08 07:24:20.424282,0 days 00:00:02.409883,1,9,2,25,,,,,,,,,,,,,,,COMPLETE
114,114,0.8303617975185069,2025-01-08 07:24:20.424787,2025-01-08 07:24:22.749857,0 days 00:00:02.325070,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
115,115,0.8264452938365981,2025-01-08 07:24:22.750339,2025-01-08 07:24:26.375234,0 days 00:00:03.624895,2,9,2,20,50.0,,,,,,,,,,,,,,COMPLETE
116,116,0.8285948527839168,2025-01-08 07:24:26.375761,2025-01-08 07:24:28.600954,0 days 00:00:02.225193,1,9,2,15,,,,,,,,,,,,,,,COMPLETE
117,117,0.7310170947901592,2025-01-08 07:24:28.601431,2025-01-08 07:24:32.999409,0 days 00:00:04.397978,2,9,3,25,40.0,,,,,,,,,,,,,,COMPLETE
118,118,0.8303617975185069,2025-01-08 07:24:33.000038,2025-01-08 07:24:35.329914,0 days 00:00:02.329876,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
119,119,0.49737766688731605,2025-01-08 07:24:35.330409,2025-01-08 07:24:38.540936,0 days 00:00:03.210527,2,1,2,15,20.0,,,,,,,,,,,,,,COMPLETE
120,120,0.8303617975185069,2025-01-08 07:24:38.541449,2025-01-08 07:24:40.869942,0 days 00:00:02.328493,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
121,121,0.8303617975185069,2025-01-08 07:24:40.870488,2025-01-08 07:24:43.195907,0 days 00:00:02.325419,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
122,122,0.8303617975185069,2025-01-08 07:24:43.197006,2025-01-08 07:24:45.523410,0 days 00:00:02.326404,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
123,123,0.4788816625551319,2025-01-08 07:24:45.523905,2025-01-08 07:25:01.318362,0 days 00:00:15.794457,14,9,2,20,10.0,35.0,30.0,30.0,50.0,,10.0,15.0,15.0,35.0,10.0,50.0,15.0,20.0,COMPLETE
124,124,0.7298599985828766,2025-01-08 07:25:01.319379,2025-01-08 07:25:11.770061,0 days 00:00:10.450682,9,9,2,25,15.0,,,,,,5.0,35.0,25.0,20.0,35.0,25.0,20.0,,COMPLETE
