,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
47,47,0.24561403508771928,2024-12-29 14:11:14.339461,2024-12-29 14:12:12.377144,0 days 00:00:58.037683,8,14,4.0,,,,,,,,,,,14.0,13.0,2.0,10.0,12.0,3.0,,,125,135.0,,,,,,,,,,,50.0,60.0,140.0,175.0,35.0,90.0,,,COMPLETE
48,48,0.7769230769230769,2024-12-29 14:12:12.377863,2024-12-29 14:12:23.077962,0 days 00:00:10.700099,1,11,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.24099883855981416,2024-12-29 14:12:23.078478,2024-12-29 14:13:04.978701,0 days 00:00:41.900223,4,7,13.0,,,,,,,,,,,12.0,6.0,,,,,,,155,190.0,,,,,,,,,,,200.0,85.0,,,,,,,COMPLETE
50,50,0.4375,2024-12-29 14:13:04.979399,2024-12-29 14:13:28.947119,0 days 00:00:23.967720,3,11,8.0,,,,,,,,,,,10.0,,,,,,,,135,165.0,,,,,,,,,,,160.0,,,,,,,,COMPLETE
51,51,0.9103174603174603,2024-12-29 14:13:28.947553,2024-12-29 14:13:42.669354,0 days 00:00:13.721801,2,13,6.0,,,,,,,,,,,,,,,,,,,185,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8430836522689995,2024-12-29 14:13:42.669896,2024-12-29 14:13:57.610184,0 days 00:00:14.940288,2,14,6.0,,,,,,,,,,,,,,,,,,,185,190.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.6983516483516483,2024-12-29 14:13:57.610530,2024-12-29 14:14:08.872211,0 days 00:00:11.261681,1,13,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.6808266360505166,2024-12-29 14:14:08.872554,2024-12-29 14:14:31.906167,0 days 00:00:23.033613,3,12,5.0,,,,,,,,,,,8.0,,,,,,,,200,145.0,,,,,,,,,,,185.0,,,,,,,,COMPLETE
55,55,0.5555555555555556,2024-12-29 14:14:31.906729,2024-12-29 14:14:47.622316,0 days 00:00:15.715587,4,13,2.0,,,,,,,,,,,5.0,8.0,,,,,,,165,135.0,,,,,,,,,,,115.0,110.0,,,,,,,COMPLETE
56,56,0.8617133791644632,2024-12-29 14:14:47.622740,2024-12-29 14:15:01.738166,0 days 00:00:14.115426,2,14,8.0,,,,,,,,,,,,,,,,,,,190,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.779020979020979,2024-12-29 14:15:01.738708,2024-12-29 14:15:09.815410,0 days 00:00:08.076702,1,11,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.0,2024-12-29 14:15:09.815751,2024-12-29 14:16:58.398791,0 days 00:01:48.583040,16,8,1.0,4.0,15.0,11.0,8.0,8.0,12.0,,,,,15.0,14.0,8.0,13.0,6.0,9.0,5.0,12.0,170,90.0,35.0,55.0,200.0,120.0,95.0,5.0,,,,,170.0,25.0,50.0,95.0,120.0,45.0,95.0,5.0,COMPLETE
59,59,0.3112050739957717,2024-12-29 14:16:58.399646,2024-12-29 14:18:04.673603,0 days 00:01:06.273957,6,9,7.0,,,,,,,,,,,6.0,12.0,10.0,5.0,,,,,160,155.0,,,,,,,,,,,140.0,150.0,75.0,75.0,,,,,COMPLETE
60,60,0.0,2024-12-29 14:18:04.674308,2024-12-29 14:21:39.543925,0 days 00:03:34.869617,20,12,3.0,12.0,10.0,11.0,2.0,8.0,7.0,1.0,6.0,15.0,14.0,10.0,7.0,5.0,1.0,1.0,13.0,9.0,5.0,95,180.0,145.0,115.0,130.0,10.0,90.0,80.0,10.0,195.0,200.0,30.0,55.0,180.0,115.0,25.0,85.0,165.0,160.0,75.0,COMPLETE
61,61,0.8445623342175066,2024-12-29 14:21:39.544847,2024-12-29 14:21:52.750137,0 days 00:00:13.205290,2,13,6.0,,,,,,,,,,,,,,,,,,,190,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.8538884524744697,2024-12-29 14:21:52.750548,2024-12-29 14:22:06.083311,0 days 00:00:13.332763,2,13,6.0,,,,,,,,,,,,,,,,,,,180,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.5014367816091954,2024-12-29 14:22:06.083864,2024-12-29 14:22:23.513411,0 days 00:00:17.429547,4,7,5.0,,,,,,,,,,,7.0,5.0,,,,,,,190,150.0,,,,,,,,,,,90.0,120.0,,,,,,,COMPLETE
64,64,0.5187290969899666,2024-12-29 14:22:23.513824,2024-12-29 14:22:42.334169,0 days 00:00:18.820345,3,15,9.0,,,,,,,,,,,5.0,,,,,,,,200,130.0,,,,,,,,,,,70.0,,,,,,,,COMPLETE
