,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
32,32,0.6451048951048951,2025-01-02 23:17:58.089600,2025-01-02 23:17:58.777079,0 days 00:00:00.687479,1,45,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.6529411764705882,2025-01-02 23:17:58.777569,2025-01-02 23:18:01.000170,0 days 00:00:02.222601,2,65,30.0,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.6288561936402468,2025-01-02 23:18:01.000719,2025-01-02 23:18:07.273836,0 days 00:00:06.273117,4,20,125.0,,,,,,,,,,,70.0,140.0,,,,,,,4,4.0,,,,,,,,,,,5.0,3.0,,,,,,,2,3.0,,,,,,,,,,,2.0,3.0,,,,,,,COMPLETE
35,35,0.0,2025-01-02 23:18:07.274516,2025-01-02 23:18:08.120544,0 days 00:00:00.846028,3,80,15.0,,,,,,,,,,,200.0,,,,,,,,3,2.0,,,,,,,,,,,3.0,,,,,,,,5,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
36,36,0.5118577075098814,2025-01-02 23:18:08.121139,2025-01-02 23:18:12.250559,0 days 00:00:04.129420,2,20,80.0,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.6445347786811202,2025-01-02 23:18:12.251128,2025-01-02 23:18:13.528855,0 days 00:00:01.277727,1,110,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.0,2025-01-02 23:18:13.529357,2025-01-02 23:18:17.907677,0 days 00:00:04.378320,10,40,155.0,,,,,,,,,,,160.0,80.0,80.0,165.0,170.0,200.0,5.0,165.0,3,4.0,,,,,,,,,,,4.0,5.0,6.0,6.0,4.0,3.0,4.0,6.0,3,5.0,,,,,,,,,,,4.0,5.0,3.0,3.0,4.0,5.0,2.0,5.0,COMPLETE
39,39,0.4648979591836735,2025-01-02 23:18:17.909168,2025-01-02 23:18:38.406705,0 days 00:00:20.497537,6,85,10.0,,,,,,,,,,,130.0,170.0,145.0,110.0,,,,,5,6.0,,,,,,,,,,,4.0,2.0,5.0,5.0,,,,,2,6.0,,,,,,,,,,,2.0,6.0,6.0,5.0,,,,,COMPLETE
40,40,0.5689102564102564,2025-01-02 23:18:38.408043,2025-01-02 23:18:44.662140,0 days 00:00:06.254097,4,5,105.0,,,,,,,,,,,110.0,45.0,,,,,,,5,3.0,,,,,,,,,,,2.0,4.0,,,,,,,5,2.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
41,41,0.0,2025-01-02 23:18:44.662858,2025-01-02 23:18:49.529430,0 days 00:00:04.866572,16,170,175.0,165.0,135.0,120.0,200.0,115.0,15.0,,,,,20.0,5.0,180.0,75.0,120.0,110.0,105.0,65.0,2,4.0,3.0,4.0,6.0,6.0,4.0,4.0,,,,,6.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4,5.0,3.0,5.0,5.0,2.0,3.0,4.0,,,,,6.0,4.0,4.0,4.0,2.0,3.0,6.0,3.0,COMPLETE
