,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
37,37,0.0,2025-01-02 23:07:35.525619,2025-01-02 23:07:38.610168,0 days 00:00:03.084549,5,90,160.0,,,,,,,,,,,115.0,135.0,200.0,,,,,,4,4.0,,,,,,,,,,,6.0,5.0,2.0,,,,,,2,4.0,,,,,,,,,,,6.0,5.0,5.0,,,,,,COMPLETE
38,38,0.7720833996498488,2025-01-02 23:07:38.611178,2025-01-02 23:07:41.027510,0 days 00:00:02.416332,2,130,80.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.0,2025-01-02 23:07:41.028036,2025-01-02 23:07:42.367424,0 days 00:00:01.339388,6,180,135.0,,,,,,,,,,,60.0,170.0,75.0,30.0,,,,,4,2.0,,,,,,,,,,,3.0,3.0,4.0,4.0,,,,,4,2.0,,,,,,,,,,,3.0,3.0,2.0,4.0,,,,,COMPLETE
40,40,0.6369126043039086,2025-01-02 23:07:42.368146,2025-01-02 23:07:51.562395,0 days 00:00:09.194249,4,30,105.0,,,,,,,,,,,170.0,65.0,,,,,,,6,6.0,,,,,,,,,,,4.0,6.0,,,,,,,5,3.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
41,41,0.7386363636363636,2025-01-02 23:07:51.563510,2025-01-02 23:07:54.293138,0 days 00:00:02.729628,2,125,75.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.7553571428571428,2025-01-02 23:07:54.293636,2025-01-02 23:07:56.522722,0 days 00:00:02.229086,1,130,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.5120048019207684,2025-01-02 23:07:56.523222,2025-01-02 23:08:00.613101,0 days 00:00:04.089879,3,140,90.0,,,,,,,,,,,155.0,,,,,,,,4,3.0,,,,,,,,,,,5.0,,,,,,,,2,5.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
44,44,0.7490421455938697,2025-01-02 23:08:00.613734,2025-01-02 23:08:02.286021,0 days 00:00:01.672287,1,165,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.6878787878787879,2025-01-02 23:08:02.286487,2025-01-02 23:08:05.665139,0 days 00:00:03.378652,2,150,65.0,,,,,,,,,,,,,,,,,,,3,2.0,,,,,,,,,,,,,,,,,,,3,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.8067708333333333,2025-01-02 23:08:05.665626,2025-01-02 23:08:07.955735,0 days 00:00:02.290109,2,135,155.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
