,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
39,39,0.6666666666666666,2025-01-02 22:36:56.116261,2025-01-02 22:37:02.802949,0 days 00:00:06.686688,13,170,115.0,95.0,55.0,200.0,,,,,,,,70.0,165.0,140.0,45.0,160.0,155.0,175.0,195.0,5,5.0,4.0,2.0,6.0,,,,,,,,2.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,6,4.0,5.0,4.0,5.0,,,,,,,,2.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,COMPLETE
40,40,0.746268656716418,2025-01-02 22:37:02.805723,2025-01-02 22:37:07.443736,0 days 00:00:04.638013,2,185,140.0,,,,,,,,,,,,,,,,,,,6,6.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.7485411140583554,2025-01-02 22:37:07.444676,2025-01-02 22:37:13.248532,0 days 00:00:05.803856,3,140,90.0,,,,,,,,,,,100.0,,,,,,,,6,3.0,,,,,,,,,,,5.0,,,,,,,,5,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
42,42,0.7209677419354839,2025-01-02 22:37:13.249514,2025-01-02 22:37:19.820365,0 days 00:00:06.570851,4,130,85.0,,,,,,,,,,,110.0,100.0,,,,,,,6,3.0,,,,,,,,,,,5.0,3.0,,,,,,,3,2.0,,,,,,,,,,,5.0,3.0,,,,,,,COMPLETE
43,43,0.7626436781609196,2025-01-02 22:37:19.821388,2025-01-02 22:37:22.385333,0 days 00:00:02.563945,2,110,130.0,,,,,,,,,,,,,,,,,,,5,2.0,,,,,,,,,,,,,,,,,,,4,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.6125422846734322,2025-01-02 22:37:22.386050,2025-01-02 22:37:27.447578,0 days 00:00:05.061528,3,155,105.0,,,,,,,,,,,95.0,,,,,,,,6,4.0,,,,,,,,,,,5.0,,,,,,,,5,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
45,45,0.7150101419878296,2025-01-02 22:37:27.448611,2025-01-02 22:37:31.115830,0 days 00:00:03.667219,1,125,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.0,2025-01-02 22:37:31.116644,2025-01-02 22:37:32.676834,0 days 00:00:01.560190,6,95,55.0,,,,,,,,,,,125.0,125.0,55.0,80.0,,,,,2,4.0,,,,,,,,,,,4.0,4.0,2.0,4.0,,,,,5,3.0,,,,,,,,,,,4.0,4.0,2.0,2.0,,,,,COMPLETE
47,47,0.512987012987013,2025-01-02 22:37:32.677827,2025-01-02 22:37:42.337836,0 days 00:00:09.660009,5,150,100.0,,,,,,,,,,,85.0,25.0,95.0,,,,,,6,2.0,,,,,,,,,,,5.0,6.0,5.0,,,,,,4,4.0,,,,,,,,,,,6.0,5.0,4.0,,,,,,COMPLETE
48,48,0.0,2025-01-02 22:37:42.339314,2025-01-02 22:37:45.935405,0 days 00:00:03.596091,10,55,70.0,,,,,,,,,,,45.0,155.0,10.0,65.0,190.0,50.0,100.0,70.0,6,4.0,,,,,,,,,,,6.0,2.0,3.0,2.0,6.0,6.0,5.0,5.0,5,2.0,,,,,,,,,,,5.0,6.0,3.0,5.0,3.0,2.0,5.0,5.0,COMPLETE
49,49,0.7375193000514668,2025-01-02 22:37:45.937648,2025-01-02 22:37:49.309840,0 days 00:00:03.372192,1,80,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.0,2025-01-02 22:37:49.310605,2025-01-02 22:37:57.838595,0 days 00:00:08.527990,18,190,185.0,130.0,80.0,140.0,5.0,190.0,105.0,35.0,200.0,,,160.0,65.0,110.0,120.0,110.0,150.0,160.0,165.0,6,5.0,3.0,6.0,4.0,6.0,2.0,2.0,2.0,6.0,,,3.0,4.0,4.0,6.0,2.0,4.0,3.0,3.0,3,5.0,3.0,6.0,2.0,6.0,4.0,2.0,6.0,6.0,,,5.0,2.0,5.0,4.0,4.0,6.0,2.0,3.0,COMPLETE
51,51,0.691722458916616,2025-01-02 22:37:57.840902,2025-01-02 22:38:03.220812,0 days 00:00:05.379910,2,160,80.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
