,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
40,40,0.7958498999490001,2025-01-02 21:53:35.738917,2025-01-02 21:54:23.038950,0 days 00:00:47.300033,9,140,120.0,,,,,,,,,,,110.0,160.0,75.0,75.0,200.0,35.0,195.0,,2,5.0,,,,,,,,,,,4.0,3.0,2.0,3.0,3.0,6.0,5.0,,3,5.0,,,,,,,,,,,2.0,2.0,4.0,2.0,5.0,4.0,3.0,,COMPLETE
41,41,0.0,2025-01-02 21:54:23.040332,2025-01-02 21:54:24.857589,0 days 00:00:01.817257,3,25,100.0,,,,,,,,,,,165.0,,,,,,,,2,4.0,,,,,,,,,,,3.0,,,,,,,,3,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
42,42,0.8380219188876818,2025-01-02 21:54:24.858255,2025-01-02 21:54:38.083305,0 days 00:00:13.225050,4,5,70.0,,,,,,,,,,,130.0,120.0,,,,,,,2,4.0,,,,,,,,,,,4.0,4.0,,,,,,,3,4.0,,,,,,,,,,,2.0,3.0,,,,,,,COMPLETE
43,43,0.0,2025-01-02 21:54:38.084172,2025-01-02 21:54:46.265233,0 days 00:00:08.181061,2,30,110.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.5963918619459478,2025-01-02 21:54:46.265845,2025-01-02 21:55:29.521832,0 days 00:00:43.255987,6,15,130.0,,,,,,,,,,,200.0,65.0,165.0,140.0,,,,,2,5.0,,,,,,,,,,,3.0,4.0,3.0,4.0,,,,,6,5.0,,,,,,,,,,,2.0,2.0,6.0,5.0,,,,,COMPLETE
45,45,0.0,2025-01-02 21:55:29.523055,2025-01-02 21:55:59.060153,0 days 00:00:29.537098,5,15,95.0,,,,,,,,,,,115.0,165.0,135.0,,,,,,3,5.0,,,,,,,,,,,4.0,5.0,4.0,,,,,,3,4.0,,,,,,,,,,,3.0,2.0,4.0,,,,,,COMPLETE
46,46,0.0,2025-01-02 21:55:59.061168,2025-01-02 21:56:09.898883,0 days 00:00:10.837715,13,175,125.0,155.0,85.0,95.0,,,,,,,,155.0,135.0,85.0,110.0,5.0,175.0,90.0,60.0,2,5.0,5.0,6.0,4.0,,,,,,,,3.0,3.0,2.0,4.0,5.0,2.0,3.0,5.0,3,5.0,2.0,2.0,2.0,,,,,,,,2.0,3.0,3.0,4.0,3.0,6.0,5.0,3.0,COMPLETE
47,47,0.8848450914108069,2025-01-02 21:56:09.900609,2025-01-02 21:56:23.317251,0 days 00:00:13.416642,2,60,140.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.8619117339002615,2025-01-02 21:56:23.317894,2025-01-02 21:56:55.180149,0 days 00:00:31.862255,4,130,140.0,,,,,,,,,,,170.0,110.0,,,,,,,4,4.0,,,,,,,,,,,4.0,4.0,,,,,,,5,6.0,,,,,,,,,,,3.0,2.0,,,,,,,COMPLETE
49,49,0.0,2025-01-02 21:56:55.181018,2025-01-02 21:57:46.325357,0 days 00:00:51.144339,7,145,140.0,,,,,,,,,,,170.0,95.0,25.0,45.0,135.0,,,,3,4.0,,,,,,,,,,,4.0,4.0,3.0,6.0,6.0,,,,5,6.0,,,,,,,,,,,3.0,2.0,5.0,2.0,2.0,,,,COMPLETE
50,50,0.0,2025-01-02 21:57:46.326767,2025-01-02 21:58:15.862366,0 days 00:00:29.535599,4,135,135.0,,,,,,,,,,,135.0,110.0,,,,,,,2,4.0,,,,,,,,,,,4.0,4.0,,,,,,,5,6.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
51,51,0.8591868407616343,2025-01-02 21:58:15.863360,2025-01-02 21:58:46.280107,0 days 00:00:30.416747,3,130,165.0,,,,,,,,,,,145.0,,,,,,,,4,4.0,,,,,,,,,,,5.0,,,,,,,,6,5.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
52,52,0.6044638210193853,2025-01-02 21:58:46.280906,2025-01-02 21:59:16.758121,0 days 00:00:30.477215,3,125,160.0,,,,,,,,,,,150.0,,,,,,,,4,4.0,,,,,,,,,,,5.0,,,,,,,,6,5.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
53,53,0.5911702631162798,2025-01-02 21:59:16.758980,2025-01-02 22:00:06.376341,0 days 00:00:49.617361,5,165,155.0,,,,,,,,,,,190.0,115.0,185.0,,,,,,4,4.0,,,,,,,,,,,5.0,5.0,5.0,,,,,,6,5.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,COMPLETE
