,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
42,42,0.8101382488479263,2025-01-02 22:26:37.521081,2025-01-02 22:26:43.685139,0 days 00:00:06.164058,2,170,75.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8059135921842058,2025-01-02 22:26:43.685852,2025-01-02 22:26:46.211288,0 days 00:00:02.525436,1,170,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.8126734505087883,2025-01-02 22:26:46.211793,2025-01-02 22:26:48.747218,0 days 00:00:02.535425,1,170,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.8111333290330904,2025-01-02 22:26:48.747704,2025-01-02 22:26:51.282956,0 days 00:00:02.535252,1,150,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.5936787227109808,2025-01-02 22:26:51.283491,2025-01-02 22:27:03.380398,0 days 00:00:12.096907,6,170,65.0,,,,,,,,,,,40.0,110.0,150.0,170.0,,,,,5,2.0,,,,,,,,,,,2.0,3.0,4.0,4.0,,,,,2,2.0,,,,,,,,,,,6.0,2.0,2.0,6.0,,,,,COMPLETE
47,47,0.8113797515275436,2025-01-02 22:27:03.381359,2025-01-02 22:27:08.968179,0 days 00:00:05.586820,3,155,75.0,,,,,,,,,,,135.0,,,,,,,,5,3.0,,,,,,,,,,,3.0,,,,,,,,2,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
48,48,0.8119758840456897,2025-01-02 22:27:08.968789,2025-01-02 22:27:14.246647,0 days 00:00:05.277858,3,150,80.0,,,,,,,,,,,175.0,,,,,,,,5,3.0,,,,,,,,,,,2.0,,,,,,,,2,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
49,49,0.6910440878683178,2025-01-02 22:27:14.247381,2025-01-02 22:27:19.426531,0 days 00:00:05.179150,3,150,50.0,,,,,,,,,,,180.0,,,,,,,,5,3.0,,,,,,,,,,,2.0,,,,,,,,2,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
50,50,0.5082223199698379,2025-01-02 22:27:19.427121,2025-01-02 22:27:28.641786,0 days 00:00:09.214665,4,145,80.0,,,,,,,,,,,155.0,55.0,,,,,,,5,3.0,,,,,,,,,,,2.0,6.0,,,,,,,2,2.0,,,,,,,,,,,6.0,2.0,,,,,,,COMPLETE
51,51,0.8039071775499191,2025-01-02 22:27:28.642584,2025-01-02 22:27:31.154739,0 days 00:00:02.512155,1,170,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.801557957172366,2025-01-02 22:27:31.155254,2025-01-02 22:27:33.978224,0 days 00:00:02.822970,2,135,30.0,,,,,,,,,,,,,,,,,,,5,2.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.7284803144868529,2025-01-02 22:27:33.978728,2025-01-02 22:27:39.540390,0 days 00:00:05.561662,3,150,75.0,,,,,,,,,,,135.0,,,,,,,,5,3.0,,,,,,,,,,,3.0,,,,,,,,2,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
54,54,0.0,2025-01-02 22:27:39.540997,2025-01-02 22:27:42.958077,0 days 00:00:03.417080,5,170,60.0,,,,,,,,,,,200.0,55.0,165.0,,,,,,5,2.0,,,,,,,,,,,2.0,6.0,2.0,,,,,,2,2.0,,,,,,,,,,,5.0,3.0,6.0,,,,,,COMPLETE
55,55,0.7867961986919146,2025-01-02 22:27:42.958938,2025-01-02 22:27:45.507365,0 days 00:00:02.548427,1,155,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.7902621119346869,2025-01-02 22:27:45.507878,2025-01-02 22:27:49.115016,0 days 00:00:03.607138,2,140,50.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.6666666666666666,2025-01-02 22:27:49.115515,2025-01-02 22:27:51.488716,0 days 00:00:02.373201,4,175,85.0,,,,,,,,,,,165.0,25.0,,,,,,,4,2.0,,,,,,,,,,,3.0,3.0,,,,,,,3,2.0,,,,,,,,,,,6.0,2.0,,,,,,,COMPLETE
58,58,0.5860994109968118,2025-01-02 22:27:51.489376,2025-01-02 22:27:58.979824,0 days 00:00:07.490448,3,155,25.0,,,,,,,,,,,165.0,,,,,,,,6,3.0,,,,,,,,,,,2.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
59,59,0.7899038925915194,2025-01-02 22:27:58.980484,2025-01-02 22:28:00.714321,0 days 00:00:01.733837,1,130,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
60,60,0.7878136061803994,2025-01-02 22:28:00.714802,2025-01-02 22:28:03.536469,0 days 00:00:02.821667,2,195,10.0,,,,,,,,,,,,,,,,,,,5,2.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.7861912099200234,2025-01-02 22:28:03.536994,2025-01-02 22:28:05.989824,0 days 00:00:02.452830,1,170,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
