,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
37,37,0.0,2025-01-02 23:37:42.749289,2025-01-02 23:38:23.314105,0 days 00:00:40.564816,6,90,150.0,,,,,,,,,,,40.0,95.0,125.0,180.0,,,,,5,5.0,,,,,,,,,,,3.0,4.0,6.0,6.0,,,,,6,4.0,,,,,,,,,,,5.0,4.0,2.0,3.0,,,,,COMPLETE
38,38,0.7483089193956591,2025-01-02 23:38:23.315362,2025-01-02 23:38:34.841604,0 days 00:00:11.526242,4,70,130.0,,,,,,,,,,,10.0,125.0,,,,,,,3,4.0,,,,,,,,,,,4.0,5.0,,,,,,,4,3.0,,,,,,,,,,,5.0,2.0,,,,,,,COMPLETE
39,39,0.0,2025-01-02 23:38:34.842610,2025-01-02 23:38:42.281036,0 days 00:00:07.438426,9,105,165.0,,,,,,,,,,,95.0,80.0,160.0,110.0,135.0,35.0,65.0,,6,5.0,,,,,,,,,,,3.0,4.0,5.0,4.0,2.0,2.0,5.0,,2,2.0,,,,,,,,,,,4.0,3.0,4.0,2.0,2.0,6.0,5.0,,COMPLETE
40,40,0.8653887047669431,2025-01-02 23:38:42.282337,2025-01-02 23:38:58.738947,0 days 00:00:16.456610,2,165,135.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.8488577212370995,2025-01-02 23:38:58.739689,2025-01-02 23:39:15.091412,0 days 00:00:16.351723,2,185,135.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8301704487463002,2025-01-02 23:39:15.092133,2025-01-02 23:39:27.966071,0 days 00:00:12.873938,2,165,115.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.738680525569058,2025-01-02 23:39:27.966794,2025-01-02 23:39:51.215262,0 days 00:00:23.248468,4,125,155.0,,,,,,,,,,,70.0,155.0,,,,,,,5,4.0,,,,,,,,,,,2.0,4.0,,,,,,,3,5.0,,,,,,,,,,,4.0,6.0,,,,,,,COMPLETE
44,44,0.8494335451066348,2025-01-02 23:39:51.216373,2025-01-02 23:40:33.540677,0 days 00:00:42.324304,6,200,170.0,,,,,,,,,,,25.0,110.0,110.0,165.0,,,,,6,5.0,,,,,,,,,,,3.0,4.0,6.0,5.0,,,,,5,4.0,,,,,,,,,,,4.0,4.0,3.0,3.0,,,,,COMPLETE
45,45,0.8704116566781792,2025-01-02 23:40:33.541931,2025-01-02 23:40:46.113339,0 days 00:00:12.571408,2,155,190.0,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,,,,,,,,,,,3,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.8195292719919429,2025-01-02 23:40:46.114037,2025-01-02 23:41:17.140356,0 days 00:00:31.026319,7,145,190.0,,,,,,,,,,,45.0,45.0,155.0,180.0,80.0,,,,2,6.0,,,,,,,,,,,5.0,2.0,4.0,6.0,4.0,,,,3,2.0,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,,,,COMPLETE
