,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
96,96,0.9367581710203912,2025-01-06 05:21:37.128143,2025-01-06 05:21:57.390080,0 days 00:00:20.261937,6,100,20.0,5.0,70.0,10.0,75.0,,,,,3,2.0,6.0,5.0,5.0,4.0,,,,,COMPLETE
97,97,0.9642537313432836,2025-01-06 05:21:57.390516,2025-01-06 05:22:20.974720,0 days 00:00:23.584204,7,45,40.0,85.0,80.0,15.0,85.0,5.0,,,,2,3.0,5.0,3.0,5.0,4.0,4.0,,,,COMPLETE
98,98,0.9535524611309898,2025-01-06 05:22:20.975286,2025-01-06 05:22:45.874172,0 days 00:00:24.898886,8,95,45.0,85.0,80.0,15.0,90.0,5.0,50.0,,,2,3.0,5.0,4.0,5.0,4.0,6.0,3.0,,,COMPLETE
99,99,0.9432373074093068,2025-01-06 05:22:45.874835,2025-01-06 05:23:09.132858,0 days 00:00:23.258023,7,45,40.0,90.0,95.0,5.0,85.0,20.0,,,,3,3.0,5.0,4.0,5.0,4.0,4.0,,,,COMPLETE
100,100,0.9475371466286557,2025-01-06 05:23:09.133410,2025-01-06 05:23:31.668928,0 days 00:00:22.535518,6,90,35.0,80.0,90.0,10.0,80.0,,,,,3,2.0,5.0,3.0,6.0,5.0,,,,,COMPLETE
101,101,0.9341131091131092,2025-01-06 05:23:31.669475,2025-01-06 05:23:52.753549,0 days 00:00:21.084074,7,50,40.0,10.0,85.0,20.0,85.0,15.0,,,,2,2.0,5.0,2.0,5.0,4.0,2.0,,,,COMPLETE
102,102,0.9556582633053221,2025-01-06 05:23:52.754104,2025-01-06 05:24:10.814955,0 days 00:00:18.060851,7,55,45.0,75.0,80.0,15.0,90.0,5.0,,,,2,2.0,6.0,2.0,5.0,4.0,2.0,,,,COMPLETE
103,103,0.9533162025140635,2025-01-06 05:24:10.815559,2025-01-06 05:24:31.795963,0 days 00:00:20.980404,7,55,45.0,95.0,80.0,10.0,95.0,5.0,,,,2,2.0,6.0,2.0,5.0,4.0,5.0,,,,COMPLETE
104,104,0.9557957707289928,2025-01-06 05:24:31.796508,2025-01-06 05:24:52.047733,0 days 00:00:20.251225,6,40,45.0,90.0,75.0,15.0,90.0,,,,,2,2.0,6.0,3.0,5.0,4.0,,,,,COMPLETE
105,105,0.9499165275459098,2025-01-06 05:24:52.048243,2025-01-06 05:25:09.334093,0 days 00:00:17.285850,6,40,50.0,90.0,75.0,85.0,100.0,,,,,2,2.0,6.0,3.0,5.0,4.0,,,,,COMPLETE
