,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
60,60,0.8781779661016949,2025-01-03 17:44:20.631397,2025-01-03 17:45:05.227685,0 days 00:00:44.596288,9,90,45.0,40.0,40.0,80.0,35.0,85.0,60.0,65.0,,4,4.0,6.0,2.0,6.0,5.0,3.0,3.0,6.0,,COMPLETE
61,61,0.8286546610169492,2025-01-03 17:45:05.228440,2025-01-03 17:45:59.724611,0 days 00:00:54.496171,9,90,45.0,40.0,40.0,80.0,35.0,80.0,50.0,65.0,,4,4.0,6.0,2.0,6.0,5.0,3.0,3.0,6.0,,COMPLETE
62,62,0.7898305084745763,2025-01-03 17:45:59.725450,2025-01-03 17:46:44.609607,0 days 00:00:44.884157,9,95,50.0,30.0,45.0,90.0,30.0,90.0,60.0,45.0,,4,5.0,6.0,2.0,6.0,5.0,3.0,2.0,6.0,,COMPLETE
63,63,0.80625,2025-01-03 17:46:44.610362,2025-01-03 17:47:33.039796,0 days 00:00:48.429434,10,85,10.0,35.0,35.0,95.0,40.0,95.0,35.0,70.0,30.0,4,4.0,6.0,2.0,6.0,5.0,2.0,3.0,5.0,5.0,COMPLETE
64,64,0.8445623342175066,2025-01-03 17:47:33.040688,2025-01-03 17:48:24.305351,0 days 00:00:51.264663,9,80,40.0,50.0,50.0,85.0,45.0,75.0,65.0,30.0,,5,3.0,5.0,3.0,6.0,5.0,4.0,6.0,6.0,,COMPLETE
65,65,0.8225344782721832,2025-01-03 17:48:24.306171,2025-01-03 17:48:56.886829,0 days 00:00:32.580658,8,95,55.0,60.0,20.0,10.0,25.0,85.0,50.0,,,4,2.0,6.0,4.0,5.0,6.0,2.0,2.0,,,COMPLETE
66,66,0.80625,2025-01-03 17:48:56.887597,2025-01-03 17:49:43.893858,0 days 00:00:47.006261,10,100,65.0,25.0,5.0,60.0,65.0,45.0,90.0,55.0,80.0,4,6.0,5.0,6.0,5.0,2.0,3.0,3.0,4.0,3.0,COMPLETE
67,67,0.8538884524744697,2025-01-03 17:49:43.894713,2025-01-03 17:50:20.513995,0 days 00:00:36.619282,8,20,35.0,45.0,55.0,95.0,50.0,100.0,70.0,,,3,3.0,6.0,2.0,6.0,5.0,5.0,2.0,,,COMPLETE
68,68,0.8380355276907001,2025-01-03 17:50:20.514749,2025-01-03 17:51:03.319444,0 days 00:00:42.804695,9,90,60.0,85.0,40.0,45.0,35.0,25.0,95.0,90.0,,5,2.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,,COMPLETE
69,69,0.7898305084745763,2025-01-03 17:51:03.320159,2025-01-03 17:51:50.328375,0 days 00:00:47.008216,7,90,15.0,35.0,30.0,90.0,55.0,65.0,,,,6,6.0,6.0,5.0,6.0,6.0,5.0,,,,COMPLETE
70,70,0.8221642764015646,2025-01-03 17:51:50.329272,2025-01-03 17:52:28.880293,0 days 00:00:38.551021,8,75,45.0,95.0,15.0,55.0,75.0,70.0,60.0,,,4,3.0,4.0,4.0,4.0,5.0,2.0,6.0,,,COMPLETE
