,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
74,74,0.6565656565656566,2025-01-04 03:03:59.402851,2025-01-04 03:04:33.504877,0 days 00:00:34.102026,8,20,35.0,10.0,100.0,25.0,35.0,15.0,40.0,,,4,2.0,4.0,4.0,6.0,6.0,5.0,3.0,,,COMPLETE
75,75,0.6347402597402598,2025-01-04 03:04:33.505527,2025-01-04 03:05:18.383513,0 days 00:00:44.877986,9,25,55.0,30.0,90.0,40.0,45.0,10.0,65.0,40.0,,3,4.0,2.0,3.0,5.0,5.0,6.0,5.0,6.0,,COMPLETE
76,76,0.6072757337742869,2025-01-04 03:05:18.384236,2025-01-04 03:05:27.688547,0 days 00:00:09.304311,3,15,25.0,20.0,,,,,,,,2,3.0,3.0,,,,,,,,COMPLETE
77,77,0.7398959583833533,2025-01-04 03:05:27.688932,2025-01-04 03:05:54.518462,0 days 00:00:26.829530,7,10,70.0,35.0,80.0,45.0,80.0,25.0,,,,2,3.0,2.0,5.0,4.0,6.0,3.0,,,,COMPLETE
78,78,0.7290490664350847,2025-01-04 03:05:54.519022,2025-01-04 03:06:06.982588,0 days 00:00:12.463566,3,5,15.0,40.0,,,,,,,,4,4.0,3.0,,,,,,,,COMPLETE
79,79,0.7877551020408163,2025-01-04 03:06:06.982971,2025-01-04 03:06:20.348633,0 days 00:00:13.365662,4,10,45.0,25.0,70.0,,,,,,,3,2.0,5.0,3.0,,,,,,,COMPLETE
80,80,0.6365914786967418,2025-01-04 03:06:20.349041,2025-01-04 03:06:40.752067,0 days 00:00:20.403026,4,20,50.0,25.0,70.0,,,,,,,5,2.0,5.0,5.0,,,,,,,COMPLETE
81,81,0.6729559748427673,2025-01-04 03:06:40.752530,2025-01-04 03:06:55.258996,0 days 00:00:14.506466,4,10,40.0,10.0,90.0,,,,,,,3,2.0,5.0,3.0,,,,,,,COMPLETE
82,82,0.779205138498595,2025-01-04 03:06:55.259510,2025-01-04 03:07:07.314630,0 days 00:00:12.055120,3,15,45.0,25.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
83,83,0.7666666666666666,2025-01-04 03:07:07.315052,2025-01-04 03:07:19.347771,0 days 00:00:12.032719,3,15,45.0,30.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
84,84,0.6940024479804161,2025-01-04 03:07:19.348145,2025-01-04 03:07:24.515559,0 days 00:00:05.167414,2,20,45.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
85,85,0.7126436781609196,2025-01-04 03:07:24.515875,2025-01-04 03:07:36.532215,0 days 00:00:12.016340,3,15,45.0,30.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
86,86,0.7996794871794872,2025-01-04 03:07:36.532604,2025-01-04 03:07:53.481349,0 days 00:00:16.948745,4,25,60.0,25.0,75.0,,,,,,,2,2.0,6.0,4.0,,,,,,,COMPLETE
87,87,0.7469237079573421,2025-01-04 03:07:53.481767,2025-01-04 03:08:10.467056,0 days 00:00:16.985289,4,25,60.0,25.0,75.0,,,,,,,2,2.0,6.0,4.0,,,,,,,COMPLETE
