,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
63,63,0.0,2025-01-01 21:43:12.827838,2025-01-01 21:43:28.262257,0 days 00:00:15.434419,18,30,100.0,160.0,60.0,90.0,55.0,10.0,65.0,200.0,55.0,,,60.0,90.0,40.0,65.0,95.0,70.0,95.0,195.0,6,3.0,6.0,6.0,3.0,6.0,4.0,5.0,6.0,6.0,,,2.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,COMPLETE
64,64,0.9424425399298793,2025-01-01 21:43:28.263137,2025-01-01 21:43:32.008682,0 days 00:00:03.745545,2,40,85.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.9540355677154583,2025-01-01 21:43:32.009114,2025-01-01 21:43:40.008686,0 days 00:00:07.999572,3,50,110.0,,,,,,,,,,,165.0,,,,,,,,4,3.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
66,66,0.9402688486265343,2025-01-01 21:43:40.009083,2025-01-01 21:43:46.317295,0 days 00:00:06.308212,1,70,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.956738768718802,2025-01-01 21:43:46.317673,2025-01-01 21:43:51.997517,0 days 00:00:05.679844,3,30,75.0,,,,,,,,,,,15.0,,,,,,,,5,5.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
68,68,0.0,2025-01-01 21:43:51.997914,2025-01-01 21:43:56.894053,0 days 00:00:04.896139,5,55,90.0,,,,,,,,,,,45.0,100.0,110.0,,,,,,6,2.0,,,,,,,,,,,5.0,6.0,5.0,,,,,,COMPLETE
69,69,0.9337963875779002,2025-01-01 21:43:56.894506,2025-01-01 21:44:02.619293,0 days 00:00:05.724787,1,15,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.9498399026832031,2025-01-01 21:44:02.619652,2025-01-01 21:44:05.768231,0 days 00:00:03.148579,2,40,45.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.9432788051209103,2025-01-01 21:44:05.768612,2025-01-01 21:44:12.289886,0 days 00:00:06.521274,3,20,70.0,,,,,,,,,,,15.0,,,,,,,,5,6.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
72,72,0.9407869107908065,2025-01-01 21:44:12.290284,2025-01-01 21:44:17.905664,0 days 00:00:05.615380,3,30,80.0,,,,,,,,,,,80.0,,,,,,,,5,5.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
73,73,0.943012348727388,2025-01-01 21:44:17.906063,2025-01-01 21:44:22.902045,0 days 00:00:04.995982,2,35,120.0,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.7687262006137631,2025-01-01 21:44:22.902415,2025-01-01 21:44:28.679095,0 days 00:00:05.776680,1,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.9482374188945126,2025-01-01 21:44:28.679548,2025-01-01 21:44:37.095624,0 days 00:00:08.416076,4,65,95.0,,,,,,,,,,,10.0,185.0,,,,,,,6,5.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
76,76,0.9406443182389305,2025-01-01 21:44:37.096049,2025-01-01 21:44:42.240445,0 days 00:00:05.144396,3,45,60.0,,,,,,,,,,,35.0,,,,,,,,5,5.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
77,77,0.0,2025-01-01 21:44:42.240906,2025-01-01 21:44:51.280908,0 days 00:00:09.040002,14,145,105.0,75.0,200.0,95.0,45.0,,,,,,,50.0,40.0,90.0,115.0,25.0,160.0,55.0,135.0,4,4.0,2.0,2.0,6.0,2.0,,,,,,,2.0,4.0,5.0,4.0,6.0,2.0,3.0,2.0,COMPLETE
78,78,0.9373457445026412,2025-01-01 21:44:51.281576,2025-01-01 21:44:55.372259,0 days 00:00:04.090683,2,20,75.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.0,2025-01-01 21:44:55.372656,2025-01-01 21:45:01.943298,0 days 00:00:06.570642,6,95,185.0,,,,,,,,,,,20.0,145.0,70.0,85.0,,,,,4,5.0,,,,,,,,,,,4.0,5.0,4.0,6.0,,,,,COMPLETE
80,80,0.0,2025-01-01 21:45:01.943795,2025-01-01 21:45:05.790551,0 days 00:00:03.846756,4,75,55.0,,,,,,,,,,,60.0,160.0,,,,,,,6,4.0,,,,,,,,,,,3.0,6.0,,,,,,,COMPLETE
