,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
39,39,0.0,2025-01-01 09:53:07.958582,2025-01-01 09:53:11.539110,0 days 00:00:03.580528,4,160,165.0,,,,,,,,,,,75.0,90.0,,,,,,,6,6.0,,,,,,,,,,,5.0,4.0,,,,,,,COMPLETE
40,40,0.0,2025-01-01 09:53:11.539538,2025-01-01 09:53:16.488570,0 days 00:00:04.949032,8,90,105.0,,,,,,,,,,,45.0,145.0,170.0,75.0,30.0,90.0,,,6,5.0,,,,,,,,,,,2.0,2.0,6.0,5.0,2.0,5.0,,,COMPLETE
41,41,0.8325962325962326,2025-01-01 09:53:16.489085,2025-01-01 09:53:21.329114,0 days 00:00:04.840029,2,115,160.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.0,2025-01-01 09:53:21.329474,2025-01-01 09:53:24.618245,0 days 00:00:03.288771,4,100,175.0,,,,,,,,,,,185.0,70.0,,,,,,,6,6.0,,,,,,,,,,,4.0,6.0,,,,,,,COMPLETE
43,43,0.8176392572944298,2025-01-01 09:53:24.618659,2025-01-01 09:53:27.101742,0 days 00:00:02.483083,1,50,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.0,2025-01-01 09:53:27.102076,2025-01-01 09:53:30.219155,0 days 00:00:03.117079,5,130,130.0,,,,,,,,,,,145.0,45.0,65.0,,,,,,6,5.0,,,,,,,,,,,2.0,5.0,3.0,,,,,,COMPLETE
45,45,0.8198198198198199,2025-01-01 09:53:30.219584,2025-01-01 09:53:36.051430,0 days 00:00:05.831846,3,65,140.0,,,,,,,,,,,110.0,,,,,,,,4,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
46,46,0.5747054202670856,2025-01-01 09:53:36.051830,2025-01-01 09:53:38.591647,0 days 00:00:02.539817,1,25,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.8108108108108109,2025-01-01 09:53:38.591992,2025-01-01 09:53:42.942759,0 days 00:00:04.350767,2,95,115.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.0,2025-01-01 09:53:42.943120,2025-01-01 09:53:47.531951,0 days 00:00:04.588831,7,70,180.0,,,,,,,,,,,90.0,135.0,90.0,35.0,85.0,,,,5,5.0,,,,,,,,,,,2.0,3.0,5.0,6.0,4.0,,,,COMPLETE
49,49,0.0,2025-01-01 09:53:47.532452,2025-01-01 09:53:50.153946,0 days 00:00:02.621494,4,130,155.0,,,,,,,,,,,155.0,175.0,,,,,,,4,2.0,,,,,,,,,,,6.0,4.0,,,,,,,COMPLETE
50,50,0.0,2025-01-01 09:53:50.154345,2025-01-01 09:53:53.078775,0 days 00:00:02.924430,5,55,200.0,,,,,,,,,,,190.0,120.0,30.0,,,,,,4,3.0,,,,,,,,,,,3.0,6.0,2.0,,,,,,COMPLETE
51,51,0.8520514883346741,2025-01-01 09:53:53.079200,2025-01-01 09:53:56.947378,0 days 00:00:03.868178,2,35,190.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
