,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
66,66,0.8888167831886398,2025-01-01 13:17:00.712191,2025-01-01 13:17:15.702522,0 days 00:00:14.990331,1,50,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.8774534537746295,2025-01-01 13:17:15.702881,2025-01-01 13:18:07.741745,0 days 00:00:52.038864,3,25,90.0,,,,,,,,,,,40.0,,,,,,,,5,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
68,68,0.0,2025-01-01 13:18:07.742281,2025-01-01 13:18:40.538589,0 days 00:00:32.796308,12,10,5.0,200.0,140.0,,,,,,,,,50.0,35.0,10.0,25.0,175.0,30.0,170.0,150.0,6,2.0,5.0,5.0,,,,,,,,,3.0,4.0,4.0,6.0,3.0,5.0,4.0,5.0,COMPLETE
69,69,0.8711553605849438,2025-01-01 13:18:40.539314,2025-01-01 13:19:34.452944,0 days 00:00:53.913630,2,140,15.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.8967216961956581,2025-01-01 13:19:34.453459,2025-01-01 13:19:49.491280,0 days 00:00:15.037821,1,130,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.6872593025043117,2025-01-01 13:19:49.491649,2025-01-01 13:20:08.265683,0 days 00:00:18.774034,1,160,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.9088552184148575,2025-01-01 13:20:08.266038,2025-01-01 13:20:27.235272,0 days 00:00:18.969234,1,130,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.8713412411722463,2025-01-01 13:20:27.235744,2025-01-01 13:21:17.771388,0 days 00:00:50.535644,3,125,110.0,,,,,,,,,,,130.0,,,,,,,,6,3.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
74,74,0.8859656260399685,2025-01-01 13:21:17.771918,2025-01-01 13:21:37.556982,0 days 00:00:19.785064,1,130,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.8579090677602289,2025-01-01 13:21:37.557358,2025-01-01 13:22:41.373647,0 days 00:01:03.816289,2,110,35.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.8907596528352808,2025-01-01 13:22:41.374171,2025-01-01 13:22:57.734330,0 days 00:00:16.360159,1,100,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.8662842900428742,2025-01-01 13:22:57.734788,2025-01-01 13:24:47.642319,0 days 00:01:49.907531,2,150,160.0,,,,,,,,,,,,,,,,,,,6,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.8707495019541646,2025-01-01 13:24:47.642815,2025-01-01 13:27:28.552839,0 days 00:02:40.910024,3,120,170.0,,,,,,,,,,,110.0,,,,,,,,6,4.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
79,79,0.8795055086407357,2025-01-01 13:27:28.553349,2025-01-01 13:29:00.802817,0 days 00:01:32.249468,4,135,135.0,,,,,,,,,,,75.0,60.0,,,,,,,6,3.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
80,80,0.7257571327294534,2025-01-01 13:29:00.803346,2025-01-01 13:29:18.075694,0 days 00:00:17.272348,1,145,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
81,81,0.8840268158250475,2025-01-01 13:29:18.076120,2025-01-01 13:29:31.656184,0 days 00:00:13.580064,1,165,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8693291117208521,2025-01-01 13:29:31.656541,2025-01-01 13:30:06.239440,0 days 00:00:34.582899,2,185,75.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
