,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
47,47,0.26737967914438504,2025-01-05 13:32:07.788673,2025-01-05 13:32:15.731421,0 days 00:00:07.942748,13,10,6.0,11.0,9.0,10.0,,,,,,,,12.0,3.0,1.0,14.0,10.0,4.0,8.0,12.0,40,30.0,20.0,35.0,30.0,,,,,,,,30.0,40.0,15.0,20.0,10.0,25.0,35.0,35.0,COMPLETE
48,48,0.34803528468323974,2025-01-05 13:32:15.732002,2025-01-05 13:32:25.808406,0 days 00:00:10.076404,4,8,7.0,,,,,,,,,,,14.0,8.0,,,,,,,5,40.0,,,,,,,,,,,60.0,25.0,,,,,,,COMPLETE
49,49,0.823076923076923,2025-01-05 13:32:25.808807,2025-01-05 13:32:29.842547,0 days 00:00:04.033740,2,9,4.0,,,,,,,,,,,,,,,,,,,15,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.4337979094076655,2025-01-05 13:32:29.842958,2025-01-05 13:32:34.807685,0 days 00:00:04.964727,3,6,8.0,,,,,,,,,,,4.0,,,,,,,,10,25.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
51,51,0.7962264150943397,2025-01-05 13:32:34.808181,2025-01-05 13:32:38.898836,0 days 00:00:04.090655,2,9,4.0,,,,,,,,,,,,,,,,,,,15,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.7777777777777778,2025-01-05 13:32:38.899197,2025-01-05 13:32:42.864629,0 days 00:00:03.965432,1,8,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.7341666666666666,2025-01-05 13:32:42.864945,2025-01-05 13:32:46.875525,0 days 00:00:04.010580,2,11,5.0,,,,,,,,,,,,,,,,,,,10,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.5705996131528046,2025-01-05 13:32:46.875860,2025-01-05 13:32:55.663159,0 days 00:00:08.787299,5,10,4.0,,,,,,,,,,,5.0,3.0,3.0,,,,,,30,40.0,,,,,,,,,,,55.0,60.0,30.0,,,,,,COMPLETE
55,55,0.7968253968253969,2025-01-05 13:32:55.663568,2025-01-05 13:32:59.345989,0 days 00:00:03.682421,1,9,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.6660869565217391,2025-01-05 13:32:59.346314,2025-01-05 13:33:04.445871,0 days 00:00:05.099557,3,9,2.0,,,,,,,,,,,11.0,,,,,,,,20,45.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
