,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
49,49,0.8677135120190123,2025-01-03 05:07:03.026891,2025-01-03 05:12:21.111557,0 days 00:05:18.084666,2,12,10.0,,,,,,,,,,,,,,,,,,,45,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.334594916749573,2025-01-03 05:12:21.112089,2025-01-03 05:17:29.534568,0 days 00:05:08.422479,5,10,4.0,,,,,,,,,,,14.0,14.0,6.0,,,,,,20,40.0,,,,,,,,,,,55.0,10.0,50.0,,,,,,COMPLETE
51,51,0.6169753995763576,2025-01-03 05:17:29.535164,2025-01-03 05:18:28.362355,0 days 00:00:58.827191,1,6,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8510921607558728,2025-01-03 05:18:28.362856,2025-01-03 05:20:14.391602,0 days 00:01:46.028746,2,6,2.0,,,,,,,,,,,,,,,,,,,35,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.8736760804930471,2025-01-03 05:20:14.392129,2025-01-03 05:21:22.232457,0 days 00:01:07.840328,4,5,3.0,,,,,,,,,,,3.0,9.0,,,,,,,15,60.0,,,,,,,,,,,5.0,40.0,,,,,,,COMPLETE
54,54,0.28676742347226925,2025-01-03 05:21:22.233031,2025-01-03 05:24:29.934761,0 days 00:03:07.701730,9,4,5.0,,,,,,,,,,,8.0,4.0,12.0,3.0,1.0,1.0,12.0,,20,50.0,,,,,,,,,,,15.0,40.0,15.0,55.0,10.0,25.0,15.0,,COMPLETE
55,55,0.8720980559327207,2025-01-03 05:24:29.935425,2025-01-03 05:27:04.936286,0 days 00:02:35.000861,3,7,1.0,,,,,,,,,,,6.0,,,,,,,,30,45.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
56,56,0.9026187160130226,2025-01-03 05:27:04.936839,2025-01-03 05:29:57.355771,0 days 00:02:52.418932,1,9,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.8688006124879131,2025-01-03 05:29:57.356279,2025-01-03 05:33:09.278185,0 days 00:03:11.921906,1,10,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.8706008473989356,2025-01-03 05:33:09.278686,2025-01-03 05:38:44.349490,0 days 00:05:35.070804,2,9,15.0,,,,,,,,,,,,,,,,,,,55,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.21249299325360582,2025-01-03 05:38:44.350023,2025-01-03 05:46:31.127007,0 days 00:07:46.776984,6,12,8.0,,,,,,,,,,,10.0,3.0,14.0,14.0,,,,,60,30.0,,,,,,,,,,,35.0,15.0,30.0,25.0,,,,,COMPLETE
60,60,0.8909032113460548,2025-01-03 05:46:31.127624,2025-01-03 05:48:50.661674,0 days 00:02:19.534050,1,8,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.8043788223033617,2025-01-03 05:48:50.662180,2025-01-03 05:51:08.272040,0 days 00:02:17.609860,1,8,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.8680485750619031,2025-01-03 05:51:08.272542,2025-01-03 05:55:49.489476,0 days 00:04:41.216934,2,11,9.0,,,,,,,,,,,,,,,,,,,50,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.889074883326573,2025-01-03 05:55:49.490001,2025-01-03 05:58:30.145718,0 days 00:02:40.655717,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
64,64,0.8688000617321092,2025-01-03 05:58:30.146239,2025-01-03 06:02:43.258484,0 days 00:04:13.112245,3,8,6.0,,,,,,,,,,,15.0,,,,,,,,55,45.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
65,65,0.8648172006222503,2025-01-03 06:02:43.259035,2025-01-03 06:05:24.699160,0 days 00:02:41.440125,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.8706892046438508,2025-01-03 06:05:24.699669,2025-01-03 06:12:12.591854,0 days 00:06:47.892185,3,10,5.0,,,,,,,,,,,13.0,,,,,,,,40,55.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
67,67,0.8735446645040684,2025-01-03 06:12:12.592418,2025-01-03 06:17:20.435662,0 days 00:05:07.843244,4,11,10.0,,,,,,,,,,,2.0,7.0,,,,,,,50,40.0,,,,,,,,,,,10.0,25.0,,,,,,,COMPLETE
68,68,0.8730646103629596,2025-01-03 06:17:20.436249,2025-01-03 06:20:27.595566,0 days 00:03:07.159317,2,7,7.0,,,,,,,,,,,,,,,,,,,40,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
69,69,0.3012447974965184,2025-01-03 06:20:27.596112,2025-01-03 06:25:08.424782,0 days 00:04:40.828670,14,9,9.0,12.0,12.0,11.0,15.0,,,,,,,4.0,14.0,3.0,1.0,5.0,9.0,8.0,5.0,35,20.0,40.0,40.0,30.0,40.0,,,,,,,30.0,45.0,55.0,45.0,50.0,50.0,60.0,20.0,COMPLETE
70,70,0.1437360369248914,2025-01-03 06:25:08.425555,2025-01-03 06:27:29.435523,0 days 00:02:21.009968,17,6,11.0,4.0,5.0,5.0,5.0,15.0,7.0,1.0,,,,11.0,15.0,7.0,8.0,5.0,12.0,4.0,10.0,55,15.0,50.0,60.0,45.0,5.0,30.0,25.0,60.0,,,,20.0,35.0,10.0,10.0,15.0,15.0,25.0,50.0,COMPLETE
71,71,0.9107706576637086,2025-01-03 06:27:29.436352,2025-01-03 06:30:06.437736,0 days 00:02:37.001384,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.9027818885197558,2025-01-03 06:30:06.438270,2025-01-03 06:33:01.825094,0 days 00:02:55.386824,1,9,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.8708641814719666,2025-01-03 06:33:01.825614,2025-01-03 06:36:29.711575,0 days 00:03:27.885961,1,11,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.8742377728000623,2025-01-03 06:36:29.712110,2025-01-03 06:41:39.452837,0 days 00:05:09.740727,3,10,3.0,,,,,,,,,,,10.0,,,,,,,,60,30.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
75,75,0.8623453913927482,2025-01-03 06:41:39.453391,2025-01-03 06:47:17.987460,0 days 00:05:38.534069,2,9,14.0,,,,,,,,,,,,,,,,,,,50,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.7501514615319073,2025-01-03 06:47:17.988005,2025-01-03 06:50:06.524967,0 days 00:02:48.536962,1,8,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.8685422729394534,2025-01-03 06:50:06.525499,2025-01-03 06:53:08.444777,0 days 00:03:01.919278,2,10,4.0,,,,,,,,,,,,,,,,,,,45,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.7677365959079498,2025-01-03 06:53:08.445298,2025-01-03 06:53:28.737361,0 days 00:00:20.292063,1,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.8673549940505217,2025-01-03 06:53:28.737772,2025-01-03 06:54:45.807886,0 days 00:01:17.070114,4,5,13.0,,,,,,,,,,,4.0,2.0,,,,,,,10,55.0,,,,,,,,,,,10.0,30.0,,,,,,,COMPLETE
80,80,0.8718335555883461,2025-01-03 06:54:45.808456,2025-01-03 06:58:22.697311,0 days 00:03:36.888855,3,8,1.0,,,,,,,,,,,6.0,,,,,,,,50,45.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
81,81,0.9114227515741302,2025-01-03 06:58:22.697869,2025-01-03 07:01:05.147117,0 days 00:02:42.449248,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.6161235325974393,2025-01-03 07:01:05.147632,2025-01-03 07:03:23.939271,0 days 00:02:18.791639,1,8,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
