,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
77,77,0.6792016551052695,2025-01-05 14:56:47.041124,2025-01-05 14:56:51.319765,0 days 00:00:04.278641,1,5,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.5239500758981278,2025-01-05 14:56:51.320083,2025-01-05 14:56:56.089107,0 days 00:00:04.769024,4,3,1.0,,,,,,,,,,,3.0,8.0,,,,,,,25,20.0,,,,,,,,,,,20.0,35.0,,,,,,,COMPLETE
79,79,0.7925233644859813,2025-01-05 14:56:56.089557,2025-01-05 14:56:59.684543,0 days 00:00:03.594986,2,7,2.0,,,,,,,,,,,,,,,,,,,35,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
80,80,0.4768041237113402,2025-01-05 14:56:59.684993,2025-01-05 14:57:04.156978,0 days 00:00:04.471985,3,9,7.0,,,,,,,,,,,11.0,,,,,,,,25,25.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
81,81,0.8017857142857143,2025-01-05 14:57:04.157392,2025-01-05 14:57:07.656305,0 days 00:00:03.498913,2,6,4.0,,,,,,,,,,,,,,,,,,,30,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8185358255451713,2025-01-05 14:57:07.656648,2025-01-05 14:57:12.397848,0 days 00:00:04.741200,1,5,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.7406593406593407,2025-01-05 14:57:12.398175,2025-01-05 14:57:17.162890,0 days 00:00:04.764715,1,5,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.713575953297727,2025-01-05 14:57:17.163218,2025-01-05 14:57:20.081012,0 days 00:00:02.917794,1,4,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.7929182748783353,2025-01-05 14:57:20.081334,2025-01-05 14:57:24.271299,0 days 00:00:04.189965,3,5,2.0,,,,,,,,,,,4.0,,,,,,,,25,30.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
86,86,0.8018691588785047,2025-01-05 14:57:24.271657,2025-01-05 14:57:27.689441,0 days 00:00:03.417784,2,4,1.0,,,,,,,,,,,,,,,,,,,30,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.7592270950933565,2025-01-05 14:57:27.689775,2025-01-05 14:57:32.351579,0 days 00:00:04.661804,1,6,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.4280051622418879,2025-01-05 14:57:32.351896,2025-01-05 14:57:37.902203,0 days 00:00:05.550307,4,7,5.0,,,,,,,,,,,9.0,10.0,,,,,,,30,20.0,,,,,,,,,,,25.0,30.0,,,,,,,COMPLETE
89,89,0.42492161189176636,2025-01-05 14:57:37.902581,2025-01-05 14:57:51.322560,0 days 00:00:13.419979,18,8,2.0,1.0,8.0,5.0,7.0,4.0,6.0,1.0,14.0,,,10.0,5.0,5.0,2.0,10.0,2.0,7.0,1.0,35,15.0,25.0,20.0,35.0,20.0,45.0,55.0,35.0,10.0,,,50.0,40.0,50.0,55.0,5.0,30.0,10.0,30.0,COMPLETE
90,90,0.07766749379652606,2025-01-05 14:57:51.323270,2025-01-05 14:58:00.268005,0 days 00:00:08.944735,12,4,3.0,7.0,5.0,,,,,,,,,13.0,13.0,9.0,8.0,14.0,13.0,12.0,5.0,25,50.0,5.0,40.0,,,,,,,,,55.0,55.0,55.0,10.0,35.0,50.0,25.0,50.0,COMPLETE
91,91,0.8233125819134994,2025-01-05 14:58:00.268566,2025-01-05 14:58:03.757403,0 days 00:00:03.488837,2,6,4.0,,,,,,,,,,,,,,,,,,,30,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.7743664717348928,2025-01-05 14:58:03.757777,2025-01-05 14:58:07.175721,0 days 00:00:03.417944,2,5,5.0,,,,,,,,,,,,,,,,,,,30,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.8088653603034135,2025-01-05 14:58:07.176064,2025-01-05 14:58:11.406702,0 days 00:00:04.230638,3,6,3.0,,,,,,,,,,,1.0,,,,,,,,35,25.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
