,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
76,76,0.4953475643130816,2025-01-05 12:12:40.987763,2025-01-05 12:12:45.238531,0 days 00:00:04.250768,3,4,3.0,,,,,,,,,,,14.0,,,,,,,,30,20.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
77,77,0.861904761904762,2025-01-05 12:12:45.238879,2025-01-05 12:12:50.173711,0 days 00:00:04.934832,4,3,1.0,,,,,,,,,,,2.0,5.0,,,,,,,55,15.0,,,,,,,,,,,10.0,60.0,,,,,,,COMPLETE
78,78,0.3085867620751342,2025-01-05 12:12:50.174092,2025-01-05 12:12:59.141934,0 days 00:00:08.967842,13,9,2.0,5.0,13.0,4.0,,,,,,,,8.0,2.0,5.0,2.0,9.0,3.0,7.0,10.0,50,25.0,50.0,25.0,25.0,,,,,,,,15.0,5.0,15.0,40.0,15.0,10.0,20.0,25.0,COMPLETE
79,79,0.861904761904762,2025-01-05 12:12:59.142509,2025-01-05 12:13:02.473570,0 days 00:00:03.331061,2,6,3.0,,,,,,,,,,,,,,,,,,,40,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
80,80,0.3479010925819437,2025-01-05 12:13:02.473948,2025-01-05 12:13:15.889771,0 days 00:00:13.415823,7,5,1.0,,,,,,,,,,,11.0,14.0,14.0,13.0,2.0,,,,55,10.0,,,,,,,,,,,20.0,20.0,45.0,25.0,55.0,,,,COMPLETE
81,81,0.8709677419354839,2025-01-05 12:13:15.890242,2025-01-05 12:13:20.830748,0 days 00:00:04.940506,4,3,1.0,,,,,,,,,,,2.0,5.0,,,,,,,55,15.0,,,,,,,,,,,10.0,60.0,,,,,,,COMPLETE
82,82,0.87042842215256,2025-01-05 12:13:20.831137,2025-01-05 12:13:25.231870,0 days 00:00:04.400733,3,3,2.0,,,,,,,,,,,1.0,,,,,,,,55,20.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
83,83,0.8098360655737705,2025-01-05 12:13:25.232238,2025-01-05 12:13:30.416821,0 days 00:00:05.184583,4,7,1.0,,,,,,,,,,,3.0,6.0,,,,,,,60,10.0,,,,,,,,,,,10.0,55.0,,,,,,,COMPLETE
84,84,0.8360215053763441,2025-01-05 12:13:30.417273,2025-01-05 12:13:33.983044,0 days 00:00:03.565771,2,4,2.0,,,,,,,,,,,,,,,,,,,50,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.8526442307692308,2025-01-05 12:13:33.983494,2025-01-05 12:13:37.257340,0 days 00:00:03.273846,1,2,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8708333333333333,2025-01-05 12:13:37.257661,2025-01-05 12:13:41.357217,0 days 00:00:04.099556,3,5,1.0,,,,,,,,,,,5.0,,,,,,,,45,30.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
87,87,0.5661846496106786,2025-01-05 12:13:41.357567,2025-01-05 12:13:47.406140,0 days 00:00:06.048573,5,8,3.0,,,,,,,,,,,2.0,4.0,7.0,,,,,,20,20.0,,,,,,,,,,,5.0,45.0,50.0,,,,,,COMPLETE
88,88,0.8119363395225465,2025-01-05 12:13:47.406538,2025-01-05 12:13:51.145029,0 days 00:00:03.738491,2,15,7.0,,,,,,,,,,,,,,,,,,,55,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.8335648791330925,2025-01-05 12:13:51.145362,2025-01-05 12:13:56.313083,0 days 00:00:05.167721,1,4,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
90,90,0.8548009367681498,2025-01-05 12:13:56.313399,2025-01-05 12:14:01.170259,0 days 00:00:04.856860,4,1,2.0,,,,,,,,,,,4.0,1.0,,,,,,,35,40.0,,,,,,,,,,,15.0,60.0,,,,,,,COMPLETE
91,91,0.845603813559322,2025-01-05 12:14:01.170665,2025-01-05 12:14:05.279970,0 days 00:00:04.109305,3,5,1.0,,,,,,,,,,,6.0,,,,,,,,45,30.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
92,92,0.8455843469063987,2025-01-05 12:14:05.280343,2025-01-05 12:14:09.368880,0 days 00:00:04.088537,3,6,1.0,,,,,,,,,,,3.0,,,,,,,,35,35.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
