,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
42,42,0.8632110955483707,2025-01-05 20:23:46.185701,2025-01-05 20:27:09.478129,0 days 00:03:23.292428,2,14,1.0,,,,,,,,,,,,,,,,,,,55,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8789720905590066,2025-01-05 20:27:09.478621,2025-01-05 20:31:42.979503,0 days 00:04:33.500882,4,12,3.0,,,,,,,,,,,6.0,3.0,,,,,,,60,55.0,,,,,,,,,,,55.0,20.0,,,,,,,COMPLETE
44,44,0.873181278762587,2025-01-05 20:31:42.980025,2025-01-05 20:36:26.134396,0 days 00:04:43.154371,3,14,5.0,,,,,,,,,,,8.0,,,,,,,,55,45.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
45,45,0.7857140380801819,2025-01-05 20:36:26.134912,2025-01-05 20:40:42.644437,0 days 00:04:16.509525,6,12,1.0,,,,,,,,,,,7.0,1.0,6.0,2.0,,,,,50,60.0,,,,,,,,,,,45.0,25.0,50.0,25.0,,,,,COMPLETE
46,46,0.869741593487448,2025-01-05 20:40:42.644998,2025-01-05 20:45:25.574042,0 days 00:04:42.929044,2,15,7.0,,,,,,,,,,,,,,,,,,,60,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.8764935953847658,2025-01-05 20:45:25.574548,2025-01-05 20:49:24.748789,0 days 00:03:59.174241,5,14,2.0,,,,,,,,,,,9.0,2.0,1.0,,,,,,45,30.0,,,,,,,,,,,60.0,40.0,35.0,,,,,,COMPLETE
48,48,0.9038599678968935,2025-01-05 20:49:24.749348,2025-01-05 20:49:43.350006,0 days 00:00:18.600658,1,1,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.7958277311867428,2025-01-05 20:49:43.350343,2025-01-05 20:50:01.108025,0 days 00:00:17.757682,1,1,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.9058783121018855,2025-01-05 20:50:01.108439,2025-01-05 20:50:14.012046,0 days 00:00:12.903607,1,1,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.8148638879649113,2025-01-05 20:50:14.012379,2025-01-05 20:50:28.065783,0 days 00:00:14.053404,1,1,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.878392710694631,2025-01-05 20:50:28.066075,2025-01-05 20:50:54.837759,0 days 00:00:26.771684,2,2,10.0,,,,,,,,,,,,,,,,,,,20,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.6596082739670432,2025-01-05 20:50:54.838219,2025-01-05 20:52:36.420697,0 days 00:01:41.582478,3,2,11.0,,,,,,,,,,,14.0,,,,,,,,25,40.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
54,54,0.8738241511276084,2025-01-05 20:52:36.421220,2025-01-05 20:52:56.974888,0 days 00:00:20.553668,1,1,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.8681405576736636,2025-01-05 20:52:56.975188,2025-01-05 20:54:48.807626,0 days 00:01:51.832438,2,4,14.0,,,,,,,,,,,,,,,,,,,55,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.8648577521194154,2025-01-05 20:54:48.808134,2025-01-05 20:56:31.030861,0 days 00:01:42.222727,3,3,9.0,,,,,,,,,,,4.0,,,,,,,,50,35.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
57,57,0.7774888927411083,2025-01-05 20:56:31.031385,2025-01-05 20:56:57.633886,0 days 00:00:26.602501,1,2,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.3457964041033252,2025-01-05 20:56:57.634206,2025-01-05 20:58:16.584230,0 days 00:01:18.950024,10,1,11.0,,,,,,,,,,,2.0,8.0,10.0,6.0,9.0,5.0,8.0,11.0,15,5.0,,,,,,,,,,,35.0,45.0,10.0,45.0,40.0,25.0,45.0,45.0,COMPLETE
59,59,0.8661818858558312,2025-01-05 20:58:16.584850,2025-01-05 20:59:15.671754,0 days 00:00:59.086904,2,3,6.0,,,,,,,,,,,,,,,,,,,55,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
60,60,0.8708142090433085,2025-01-05 20:59:15.672255,2025-01-05 21:01:43.106467,0 days 00:02:27.434212,4,5,3.0,,,,,,,,,,,5.0,6.0,,,,,,,60,55.0,,,,,,,,,,,20.0,50.0,,,,,,,COMPLETE
61,61,0.5044389896194287,2025-01-05 21:01:43.106992,2025-01-05 21:06:09.463516,0 days 00:04:26.356524,4,9,5.0,,,,,,,,,,,10.0,4.0,,,,,,,55,45.0,,,,,,,,,,,60.0,15.0,,,,,,,COMPLETE
62,62,0.8742710789624626,2025-01-05 21:06:09.464054,2025-01-05 21:06:28.128481,0 days 00:00:18.664427,1,1,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.28758280711753736,2025-01-05 21:06:28.128897,2025-01-05 21:10:19.555908,0 days 00:03:51.427011,17,2,4.0,10.0,1.0,6.0,7.0,11.0,1.0,1.0,,,,7.0,1.0,14.0,12.0,7.0,12.0,13.0,15.0,50,55.0,15.0,20.0,60.0,5.0,45.0,5.0,60.0,,,,45.0,30.0,55.0,20.0,50.0,50.0,20.0,20.0,COMPLETE
64,64,0.8742264314632735,2025-01-05 21:10:19.556670,2025-01-05 21:14:14.707834,0 days 00:03:55.151164,3,12,1.0,,,,,,,,,,,8.0,,,,,,,,60,40.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
65,65,0.2482493425288272,2025-01-05 21:14:14.708374,2025-01-05 21:18:07.084278,0 days 00:03:52.375904,8,3,2.0,,,,,,,,,,,5.0,4.0,4.0,15.0,3.0,8.0,,,40,60.0,,,,,,,,,,,30.0,15.0,45.0,40.0,35.0,40.0,,,COMPLETE
