,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
120,120,0.8288917659777855,2025-01-01 21:04:51.820087,2025-01-01 21:05:14.525898,0 days 00:00:22.705811,4,130,110.0,,,,,,,,,,,160.0,15.0,,,,,,,COMPLETE
121,121,0.8238195294280635,2025-01-01 21:05:14.526286,2025-01-01 21:05:31.107943,0 days 00:00:16.581657,2,145,135.0,,,,,,,,,,,,,,,,,,,COMPLETE
122,122,0.8261244735335984,2025-01-01 21:05:31.108454,2025-01-01 21:05:48.722620,0 days 00:00:17.614166,2,130,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
123,123,0.834487766649651,2025-01-01 21:05:48.723005,2025-01-01 21:06:08.851777,0 days 00:00:20.128772,3,135,115.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
124,124,0.823840224926075,2025-01-01 21:06:08.852158,2025-01-01 21:06:29.108521,0 days 00:00:20.256363,3,180,95.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
125,125,0.8341431241068484,2025-01-01 21:06:29.108910,2025-01-01 21:06:49.247423,0 days 00:00:20.138513,3,135,110.0,,,,,,,,,,,125.0,,,,,,,,COMPLETE
126,126,0.8345655291480445,2025-01-01 21:06:49.247968,2025-01-01 21:07:09.647446,0 days 00:00:20.399478,3,135,110.0,,,,,,,,,,,125.0,,,,,,,,COMPLETE
127,127,0.8291171052903905,2025-01-01 21:07:09.647842,2025-01-01 21:07:30.033472,0 days 00:00:20.385630,3,135,110.0,,,,,,,,,,,125.0,,,,,,,,COMPLETE
128,128,0.8088755006563226,2025-01-01 21:07:30.033867,2025-01-01 21:07:54.295603,0 days 00:00:24.261736,4,135,125.0,,,,,,,,,,,110.0,100.0,,,,,,,COMPLETE
129,129,0.8345536414717681,2025-01-01 21:07:54.296136,2025-01-01 21:08:15.226338,0 days 00:00:20.930202,3,150,115.0,,,,,,,,,,,130.0,,,,,,,,COMPLETE
