,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
54,54,0.876876503618619,2024-12-31 21:10:36.437863,2024-12-31 21:12:23.882350,0 days 00:01:47.444487,3,25,125.0,,,,,,,,,,,200.0,,,,,,,,COMPLETE
55,55,0.877273313223054,2024-12-31 21:12:23.883074,2024-12-31 21:14:33.212132,0 days 00:02:09.329058,4,30,200.0,,,,,,,,,,,120.0,100.0,,,,,,,COMPLETE
56,56,0.877008383938781,2024-12-31 21:14:33.212832,2024-12-31 21:15:44.578305,0 days 00:01:11.365473,2,55,135.0,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.4053254858254566,2024-12-31 21:15:44.578986,2024-12-31 21:19:38.021672,0 days 00:03:53.442686,11,40,100.0,70.0,,,,,,,,,,140.0,115.0,10.0,40.0,95.0,55.0,200.0,65.0,COMPLETE
58,58,0.19015057920889278,2024-12-31 21:19:38.022504,2024-12-31 21:25:10.977671,0 days 00:05:32.955167,13,35,110.0,155.0,125.0,135.0,,,,,,,,120.0,45.0,35.0,155.0,160.0,170.0,135.0,5.0,COMPLETE
59,59,0.4977810823775529,2024-12-31 21:25:10.979318,2024-12-31 21:29:22.013111,0 days 00:04:11.033793,9,70,180.0,,,,,,,,,,,170.0,125.0,160.0,85.0,120.0,5.0,40.0,,COMPLETE
60,60,0.8631361445243112,2024-12-31 21:29:22.013900,2024-12-31 21:29:52.410534,0 days 00:00:30.396634,1,5,,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.8766297793124569,2024-12-31 21:29:52.411145,2024-12-31 21:33:24.772708,0 days 00:03:32.361563,6,45,170.0,,,,,,,,,,,95.0,190.0,120.0,165.0,,,,,COMPLETE
62,62,0.8660654593402238,2024-12-31 21:33:24.773437,2024-12-31 21:34:53.688347,0 days 00:01:28.914910,3,20,135.0,,,,,,,,,,,110.0,,,,,,,,COMPLETE
63,63,0.8785623977504506,2024-12-31 21:34:53.689041,2024-12-31 21:36:57.183452,0 days 00:02:03.494411,4,65,80.0,,,,,,,,,,,75.0,190.0,,,,,,,COMPLETE
64,64,0.8683257132559961,2024-12-31 21:36:57.184158,2024-12-31 21:39:25.550079,0 days 00:02:28.365921,5,55,15.0,,,,,,,,,,,110.0,170.0,145.0,,,,,,COMPLETE
65,65,0.8733054906640225,2024-12-31 21:39:25.550792,2024-12-31 21:40:32.532940,0 days 00:01:06.982148,2,30,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.8809377859168885,2024-12-31 21:40:32.533623,2024-12-31 21:42:34.445220,0 days 00:02:01.911597,4,75,90.0,,,,,,,,,,,145.0,70.0,,,,,,,COMPLETE
67,67,0.877989205594552,2024-12-31 21:42:34.445938,2024-12-31 21:44:40.570174,0 days 00:02:06.124236,4,75,90.0,,,,,,,,,,,145.0,95.0,,,,,,,COMPLETE
68,68,0.25651687129460105,2024-12-31 21:44:40.570890,2024-12-31 21:50:20.087450,0 days 00:05:39.516560,17,45,145.0,85.0,50.0,60.0,105.0,120.0,105.0,5.0,,,,130.0,65.0,60.0,110.0,5.0,125.0,100.0,115.0,COMPLETE
69,69,0.8746988030668152,2024-12-31 21:50:20.088319,2024-12-31 21:51:15.397744,0 days 00:00:55.309425,2,55,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
