,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
106,106,0.8870673952641166,2025-01-02 02:28:12.754080,2025-01-02 02:28:18.842055,0 days 00:00:06.087975,2,125,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
107,107,0.880184331797235,2025-01-02 02:28:18.842593,2025-01-02 02:28:25.313472,0 days 00:00:06.470879,2,125,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
108,108,0.8353510895883778,2025-01-02 02:28:25.313980,2025-01-02 02:28:30.923982,0 days 00:00:05.610002,2,125,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
109,109,0.8293650793650793,2025-01-02 02:28:30.924616,2025-01-02 02:28:39.670195,0 days 00:00:08.745579,4,130,165.0,,,,,,,,,,,100.0,80.0,,,,,,,COMPLETE
110,110,0.842896174863388,2025-01-02 02:28:39.670746,2025-01-02 02:28:45.772184,0 days 00:00:06.101438,2,125,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
111,111,0.8360215053763441,2025-01-02 02:28:45.772709,2025-01-02 02:28:50.796023,0 days 00:00:05.023314,1,105,,,,,,,,,,,,,,,,,,,,COMPLETE
112,112,0.8185443668993021,2025-01-02 02:28:50.796584,2025-01-02 02:28:56.403377,0 days 00:00:05.606793,2,145,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
113,113,0.8521505376344086,2025-01-02 02:28:56.403895,2025-01-02 02:29:01.422334,0 days 00:00:05.018439,1,100,,,,,,,,,,,,,,,,,,,,COMPLETE
114,114,0.8548009367681498,2025-01-02 02:29:01.422937,2025-01-02 02:29:08.808352,0 days 00:00:07.385415,3,140,165.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
115,115,0.8708333333333333,2025-01-02 02:29:08.808978,2025-01-02 02:29:14.905737,0 days 00:00:06.096759,2,110,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
