,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
49,49,0.877898337656337,2025-01-02 23:01:18.390287,2025-01-02 23:02:48.248126,0 days 00:01:29.857839,3,100,155.0,,,,,,,,,,,195.0,,,,,,,,COMPLETE
50,50,0.8759685244065989,2025-01-02 23:02:48.248690,2025-01-02 23:04:52.989625,0 days 00:02:04.740935,4,90,195.0,,,,,,,,,,,190.0,190.0,,,,,,,COMPLETE
51,51,0.8403863996036316,2025-01-02 23:04:52.990200,2025-01-02 23:05:24.826746,0 days 00:00:31.836546,1,75,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8799950047345522,2025-01-02 23:05:24.827275,2025-01-02 23:06:16.624786,0 days 00:00:51.797511,2,60,180.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.87865929961978,2025-01-02 23:06:16.625343,2025-01-02 23:07:51.807479,0 days 00:01:35.182136,3,130,165.0,,,,,,,,,,,175.0,,,,,,,,COMPLETE
54,54,0.8724134948612876,2025-01-02 23:07:51.808059,2025-01-02 23:08:25.783122,0 days 00:00:33.975063,1,95,,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.8819188316608464,2025-01-02 23:08:25.783681,2025-01-02 23:10:16.082898,0 days 00:01:50.299217,4,120,150.0,,,,,,,,,,,165.0,150.0,,,,,,,COMPLETE
56,56,0.8608347763289637,2025-01-02 23:10:16.083483,2025-01-02 23:13:04.484213,0 days 00:02:48.400730,6,50,125.0,,,,,,,,,,,190.0,180.0,200.0,170.0,,,,,COMPLETE
57,57,0.8740678097014023,2025-01-02 23:13:04.484809,2025-01-02 23:14:01.168481,0 days 00:00:56.683672,2,85,165.0,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.5637552537707082,2025-01-02 23:14:01.169028,2025-01-02 23:19:01.036487,0 days 00:04:59.867459,18,100,175.0,85.0,65.0,15.0,85.0,20.0,200.0,200.0,65.0,,,95.0,105.0,185.0,65.0,60.0,160.0,150.0,40.0,COMPLETE
59,59,0.8713541155943225,2025-01-02 23:19:01.037227,2025-01-02 23:19:40.604745,0 days 00:00:39.567518,1,140,,,,,,,,,,,,,,,,,,,,COMPLETE
60,60,0.8758565183207491,2025-01-02 23:19:40.605314,2025-01-02 23:21:00.306684,0 days 00:01:19.701370,3,110,145.0,,,,,,,,,,,130.0,,,,,,,,COMPLETE
61,61,0.8749330587449574,2025-01-02 23:21:00.307257,2025-01-02 23:23:07.321953,0 days 00:02:07.014696,5,195,140.0,,,,,,,,,,,150.0,25.0,165.0,,,,,,COMPLETE
62,62,0.6363581248688741,2025-01-02 23:23:07.322594,2025-01-02 23:25:33.882583,0 days 00:02:26.559989,7,175,115.0,,,,,,,,,,,160.0,70.0,100.0,100.0,130.0,,,,COMPLETE
63,63,0.8689382063208896,2025-01-02 23:25:33.883255,2025-01-02 23:27:44.081318,0 days 00:02:10.198063,5,180,155.0,,,,,,,,,,,185.0,35.0,145.0,,,,,,COMPLETE
64,64,0.8463725685413115,2025-01-02 23:27:44.081928,2025-01-02 23:28:58.424746,0 days 00:01:14.342818,3,185,130.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
65,65,0.8762721684158715,2025-01-02 23:28:58.425330,2025-01-02 23:30:45.332888,0 days 00:01:46.907558,4,200,150.0,,,,,,,,,,,140.0,55.0,,,,,,,COMPLETE
66,66,0.8788233389113409,2025-01-02 23:30:45.333475,2025-01-02 23:31:26.722730,0 days 00:00:41.389255,1,160,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.8836215183273477,2025-01-02 23:31:26.723286,2025-01-02 23:32:23.291129,0 days 00:00:56.567843,2,65,200.0,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.881270092227288,2025-01-02 23:32:23.291685,2025-01-02 23:33:18.019513,0 days 00:00:54.727828,2,60,200.0,,,,,,,,,,,,,,,,,,,COMPLETE
69,69,0.874887497483898,2025-01-02 23:33:18.020061,2025-01-02 23:34:09.304526,0 days 00:00:51.284465,2,35,190.0,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.8807684049079755,2025-01-02 23:34:09.305103,2025-01-02 23:34:40.894846,0 days 00:00:31.589743,1,70,,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.8795024192260159,2025-01-02 23:34:40.895403,2025-01-02 23:36:29.034817,0 days 00:01:48.139414,4,80,180.0,,,,,,,,,,,175.0,125.0,,,,,,,COMPLETE
72,72,0.8684396179518796,2025-01-02 23:36:29.035413,2025-01-02 23:38:09.735554,0 days 00:01:40.700141,3,195,190.0,,,,,,,,,,,105.0,,,,,,,,COMPLETE
73,73,0.8779915096094759,2025-01-02 23:38:09.736125,2025-01-02 23:40:10.120433,0 days 00:02:00.384308,6,90,160.0,,,,,,,,,,,195.0,10.0,130.0,45.0,,,,,COMPLETE
74,74,0.8684495807584676,2025-01-02 23:40:10.121036,2025-01-02 23:40:55.313250,0 days 00:00:45.192214,3,65,50.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
75,75,0.4045550688071998,2025-01-02 23:40:55.313817,2025-01-02 23:43:56.398007,0 days 00:03:01.084190,9,195,175.0,,,,,,,,,,,160.0,25.0,115.0,170.0,100.0,100.0,40.0,,COMPLETE
