,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
57,57,0.822429906542056,2025-01-02 06:58:30.182032,2025-01-02 06:58:35.121985,0 days 00:00:04.939953,1,170,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.8363095238095238,2025-01-02 06:58:35.122455,2025-01-02 06:58:42.504431,0 days 00:00:07.381976,3,145,120.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
59,59,0.8088624338624338,2025-01-02 06:58:42.504968,2025-01-02 06:58:50.359625,0 days 00:00:07.854657,3,120,120.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
60,60,0.6454166666666666,2025-01-02 06:58:50.360151,2025-01-02 06:59:34.846230,0 days 00:00:44.486079,16,130,80.0,55.0,190.0,130.0,115.0,90.0,180.0,,,,,130.0,20.0,90.0,125.0,35.0,125.0,55.0,115.0,COMPLETE
61,61,0.8251287001287001,2025-01-02 06:59:34.847231,2025-01-02 06:59:41.287156,0 days 00:00:06.439925,2,145,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.8458874458874459,2025-01-02 06:59:41.287664,2025-01-02 06:59:46.298446,0 days 00:00:05.010782,1,145,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.8181818181818181,2025-01-02 06:59:46.298946,2025-01-02 06:59:51.249907,0 days 00:00:04.950961,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
64,64,0.7960216067907057,2025-01-02 06:59:51.250380,2025-01-02 06:59:56.230937,0 days 00:00:04.980557,1,160,,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.7980041847738613,2025-01-02 06:59:56.231428,2025-01-02 07:00:03.561556,0 days 00:00:07.330128,3,145,65.0,,,,,,,,,,,95.0,,,,,,,,COMPLETE
66,66,0.8071428571428572,2025-01-02 07:00:03.562055,2025-01-02 07:00:08.561973,0 days 00:00:04.999918,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.3886113886113886,2025-01-02 07:00:08.562471,2025-01-02 07:00:37.430446,0 days 00:00:28.867975,11,125,140.0,100.0,,,,,,,,,,50.0,85.0,30.0,95.0,200.0,75.0,140.0,45.0,COMPLETE
68,68,0.8125625625625625,2025-01-02 07:00:37.431154,2025-01-02 07:00:44.831756,0 days 00:00:07.400602,3,155,110.0,,,,,,,,,,,190.0,,,,,,,,COMPLETE
69,69,0.7889908256880734,2025-01-02 07:00:44.832257,2025-01-02 07:00:54.150369,0 days 00:00:09.318112,4,170,45.0,,,,,,,,,,,65.0,5.0,,,,,,,COMPLETE
70,70,0.8502795248078268,2025-01-02 07:00:54.150921,2025-01-02 07:01:00.556920,0 days 00:00:06.405999,2,130,130.0,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.8369818351187703,2025-01-02 07:01:00.557402,2025-01-02 07:01:07.004435,0 days 00:00:06.447033,2,130,130.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.8272727272727273,2025-01-02 07:01:07.004940,2025-01-02 07:01:13.480225,0 days 00:00:06.475285,2,110,100.0,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.8660607510165033,2025-01-02 07:01:13.480729,2025-01-02 07:01:18.468816,0 days 00:00:04.988087,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.8558558558558559,2025-01-02 07:01:18.469300,2025-01-02 07:01:23.460744,0 days 00:00:04.991444,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.8049742710120069,2025-01-02 07:01:23.461207,2025-01-02 07:01:28.439955,0 days 00:00:04.978748,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.8311092577147623,2025-01-02 07:01:28.440431,2025-01-02 07:01:33.410050,0 days 00:00:04.969619,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.7850225413257639,2025-01-02 07:01:33.410558,2025-01-02 07:01:39.872640,0 days 00:00:06.462082,2,100,90.0,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.8273809523809523,2025-01-02 07:01:39.873319,2025-01-02 07:01:45.199726,0 days 00:00:05.326407,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.7161442006269593,2025-01-02 07:01:45.200211,2025-01-02 07:01:53.848152,0 days 00:00:08.647941,4,125,80.0,,,,,,,,,,,155.0,55.0,,,,,,,COMPLETE
80,80,0.8016142735768904,2025-01-02 07:01:53.848691,2025-01-02 07:01:59.856348,0 days 00:00:06.007657,2,115,145.0,,,,,,,,,,,,,,,,,,,COMPLETE
