,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
75,75,0.7009090909090909,2025-01-02 09:15:58.793553,2025-01-02 09:16:03.621009,0 days 00:00:04.827456,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.687847866419295,2025-01-02 09:16:03.621526,2025-01-02 09:16:08.279113,0 days 00:00:04.657587,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.5867620751341682,2025-01-02 09:16:08.279615,2025-01-02 09:16:11.532521,0 days 00:00:03.252906,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.6168478260869565,2025-01-02 09:16:11.533018,2025-01-02 09:16:16.129174,0 days 00:00:04.596156,1,145,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.6173469387755102,2025-01-02 09:16:16.129689,2025-01-02 09:16:22.480714,0 days 00:00:06.351025,4,130,160.0,,,,,,,,,,,75.0,15.0,,,,,,,COMPLETE
80,80,0.11428571428571428,2025-01-02 09:16:22.481253,2025-01-02 09:17:08.991155,0 days 00:00:46.509902,16,150,195.0,75.0,20.0,190.0,130.0,10.0,10.0,,,,,130.0,5.0,165.0,105.0,5.0,155.0,65.0,135.0,COMPLETE
81,81,0.6711229946524064,2025-01-02 09:17:08.991979,2025-01-02 09:17:13.618627,0 days 00:00:04.626648,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.6012002182214948,2025-01-02 09:17:13.619138,2025-01-02 09:17:19.126876,0 days 00:00:05.507738,2,135,120.0,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.5695970695970696,2025-01-02 09:17:19.127377,2025-01-02 09:17:24.427224,0 days 00:00:05.299847,3,60,130.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
84,84,0.6236111111111111,2025-01-02 09:17:24.427769,2025-01-02 09:17:28.378454,0 days 00:00:03.950685,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.717948717948718,2025-01-02 09:17:28.378954,2025-01-02 09:17:32.789158,0 days 00:00:04.410204,2,120,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.31746031746031744,2025-01-02 09:17:32.789689,2025-01-02 09:18:26.366365,0 days 00:00:53.576676,19,125,180.0,150.0,140.0,125.0,60.0,100.0,95.0,200.0,190.0,5.0,,105.0,25.0,30.0,200.0,30.0,75.0,35.0,200.0,COMPLETE
87,87,0.688259109311741,2025-01-02 09:18:26.367376,2025-01-02 09:18:30.956150,0 days 00:00:04.588774,2,165,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.7023584905660378,2025-01-02 09:18:30.956667,2025-01-02 09:18:35.139943,0 days 00:00:04.183276,2,175,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.7028985507246377,2025-01-02 09:18:35.140449,2025-01-02 09:18:40.650854,0 days 00:00:05.510405,3,175,145.0,,,,,,,,,,,150.0,,,,,,,,COMPLETE
90,90,0.6439962476547842,2025-01-02 09:18:40.651349,2025-01-02 09:18:46.251920,0 days 00:00:05.600571,3,200,140.0,,,,,,,,,,,180.0,,,,,,,,COMPLETE
91,91,0.684577522559475,2025-01-02 09:18:46.252458,2025-01-02 09:18:51.885598,0 days 00:00:05.633140,2,185,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.5398148148148149,2025-01-02 09:18:51.886103,2025-01-02 09:18:57.975907,0 days 00:00:06.089804,1,175,,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.5971933471933473,2025-01-02 09:18:57.976403,2025-01-02 09:19:03.428615,0 days 00:00:05.452212,3,195,175.0,,,,,,,,,,,145.0,,,,,,,,COMPLETE
94,94,0.6598440545808967,2025-01-02 09:19:03.429129,2025-01-02 09:19:07.593156,0 days 00:00:04.164027,2,160,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
95,95,0.40406976744186046,2025-01-02 09:19:07.593666,2025-01-02 09:19:46.567447,0 days 00:00:38.973781,13,170,165.0,45.0,45.0,50.0,,,,,,,,155.0,140.0,80.0,135.0,155.0,170.0,80.0,75.0,COMPLETE
96,96,0.5765765765765766,2025-01-02 09:19:46.568234,2025-01-02 09:19:51.326056,0 days 00:00:04.757822,1,185,,,,,,,,,,,,,,,,,,,,COMPLETE
97,97,0.7238372093023255,2025-01-02 09:19:51.326583,2025-01-02 09:19:58.222095,0 days 00:00:06.895512,4,90,125.0,,,,,,,,,,,165.0,80.0,,,,,,,COMPLETE
98,98,0.5689655172413793,2025-01-02 09:19:58.222669,2025-01-02 09:20:08.064965,0 days 00:00:09.842296,6,80,125.0,,,,,,,,,,,165.0,80.0,115.0,175.0,,,,,COMPLETE
99,99,0.6538461538461539,2025-01-02 09:20:08.065559,2025-01-02 09:20:15.907495,0 days 00:00:07.841936,4,50,155.0,,,,,,,,,,,200.0,60.0,,,,,,,COMPLETE
100,100,0.5825918762088975,2025-01-02 09:20:15.908067,2025-01-02 09:20:21.939424,0 days 00:00:06.031357,3,70,190.0,,,,,,,,,,,190.0,,,,,,,,COMPLETE
101,101,0.5974099099099099,2025-01-02 09:20:21.939990,2025-01-02 09:20:26.317949,0 days 00:00:04.377959,2,85,120.0,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.6444444444444444,2025-01-02 09:20:26.318477,2025-01-02 09:20:31.003267,0 days 00:00:04.684790,2,95,130.0,,,,,,,,,,,,,,,,,,,COMPLETE
103,103,0.6666666666666666,2025-01-02 09:20:31.003844,2025-01-02 09:20:34.207640,0 days 00:00:03.203796,1,90,,,,,,,,,,,,,,,,,,,,COMPLETE
104,104,0.536936936936937,2025-01-02 09:20:34.208179,2025-01-02 09:20:40.183114,0 days 00:00:05.974935,3,75,145.0,,,,,,,,,,,150.0,,,,,,,,COMPLETE
105,105,0.6495238095238096,2025-01-02 09:20:40.183830,2025-01-02 09:20:44.466748,0 days 00:00:04.282918,2,120,115.0,,,,,,,,,,,,,,,,,,,COMPLETE
106,106,0.30833333333333335,2025-01-02 09:20:44.467285,2025-01-02 09:21:07.431928,0 days 00:00:22.964643,9,65,140.0,,,,,,,,,,,115.0,105.0,50.0,25.0,200.0,200.0,150.0,,COMPLETE
107,107,0.6166112956810631,2025-01-02 09:21:07.432670,2025-01-02 09:21:14.993987,0 days 00:00:07.561317,5,110,165.0,,,,,,,,,,,130.0,35.0,185.0,,,,,,COMPLETE
108,108,0.6862745098039216,2025-01-02 09:21:14.994575,2025-01-02 09:21:19.244870,0 days 00:00:04.250295,1,175,,,,,,,,,,,,,,,,,,,,COMPLETE
109,109,0.6781818181818182,2025-01-02 09:21:19.245407,2025-01-02 09:21:23.468833,0 days 00:00:04.223426,2,90,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
110,110,0.5,2025-01-02 09:21:23.469368,2025-01-02 09:21:28.788920,0 days 00:00:05.319552,4,190,135.0,,,,,,,,,,,170.0,125.0,,,,,,,COMPLETE
111,111,0.6326829268292683,2025-01-02 09:21:28.789493,2025-01-02 09:21:33.518799,0 days 00:00:04.729306,2,180,175.0,,,,,,,,,,,,,,,,,,,COMPLETE
112,112,0.6768518518518518,2025-01-02 09:21:33.519356,2025-01-02 09:21:36.824670,0 days 00:00:03.305314,1,140,,,,,,,,,,,,,,,,,,,,COMPLETE
113,113,0.5668449197860963,2025-01-02 09:21:36.825187,2025-01-02 09:21:43.020273,0 days 00:00:06.195086,3,165,170.0,,,,,,,,,,,135.0,,,,,,,,COMPLETE
114,114,0.6441202475685235,2025-01-02 09:21:43.020837,2025-01-02 09:21:49.183505,0 days 00:00:06.162668,2,155,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
115,115,0.6428571428571428,2025-01-02 09:21:49.184055,2025-01-02 09:22:14.885285,0 days 00:00:25.701230,1,165,,,,,,,,,,,,,,,,,,,,COMPLETE
116,116,0.6515151515151515,2025-01-02 09:22:14.886005,2025-01-02 09:22:21.289662,0 days 00:00:06.403657,1,105,,,,,,,,,,,,,,,,,,,,COMPLETE
117,117,0.6660069272637308,2025-01-02 09:22:21.290165,2025-01-02 09:22:25.718743,0 days 00:00:04.428578,3,175,200.0,,,,,,,,,,,180.0,,,,,,,,COMPLETE
118,118,0.6341463414634146,2025-01-02 09:22:25.719313,2025-01-02 09:22:31.278638,0 days 00:00:05.559325,2,100,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
119,119,0.6428571428571428,2025-01-02 09:22:31.279196,2025-01-02 09:22:35.634716,0 days 00:00:04.355520,1,170,,,,,,,,,,,,,,,,,,,,COMPLETE
120,120,0.6909660107334525,2025-01-02 09:22:35.635248,2025-01-02 09:22:41.030106,0 days 00:00:05.394858,2,80,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
121,121,0.751131221719457,2025-01-02 09:22:41.031323,2025-01-02 09:22:45.683781,0 days 00:00:04.652458,2,80,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
122,122,0.4365079365079365,2025-01-02 09:22:45.684307,2025-01-02 09:22:51.258980,0 days 00:00:05.574673,3,80,125.0,,,,,,,,,,,165.0,,,,,,,,COMPLETE
123,123,0.5805555555555555,2025-01-02 09:22:51.259555,2025-01-02 09:22:55.843937,0 days 00:00:04.584382,1,85,,,,,,,,,,,,,,,,,,,,COMPLETE
124,124,0.6923469387755102,2025-01-02 09:22:55.844451,2025-01-02 09:23:01.206264,0 days 00:00:05.361813,2,70,115.0,,,,,,,,,,,,,,,,,,,COMPLETE
125,125,0.6628383921246923,2025-01-02 09:23:01.206812,2025-01-02 09:23:06.194042,0 days 00:00:04.987230,1,65,,,,,,,,,,,,,,,,,,,,COMPLETE
126,126,0.5756302521008403,2025-01-02 09:23:06.194567,2025-01-02 09:23:11.845110,0 days 00:00:05.650543,2,60,115.0,,,,,,,,,,,,,,,,,,,COMPLETE
127,127,0.6097972972972974,2025-01-02 09:23:11.845645,2025-01-02 09:23:19.409591,0 days 00:00:07.563946,3,75,100.0,,,,,,,,,,,110.0,,,,,,,,COMPLETE
128,128,0.580392156862745,2025-01-02 09:23:19.410129,2025-01-02 09:23:25.839355,0 days 00:00:06.429226,4,70,110.0,,,,,,,,,,,95.0,60.0,,,,,,,COMPLETE
129,129,0.7213862289101687,2025-01-02 09:23:25.839937,2025-01-02 09:23:29.936739,0 days 00:00:04.096802,1,95,,,,,,,,,,,,,,,,,,,,COMPLETE
130,130,0.6731601731601732,2025-01-02 09:23:29.937258,2025-01-02 09:23:33.753470,0 days 00:00:03.816212,1,95,,,,,,,,,,,,,,,,,,,,COMPLETE
131,131,0.5867620751341682,2025-01-02 09:23:33.754008,2025-01-02 09:23:37.671888,0 days 00:00:03.917880,1,75,,,,,,,,,,,,,,,,,,,,COMPLETE
132,132,0.6510869565217392,2025-01-02 09:23:37.672573,2025-01-02 09:23:41.695615,0 days 00:00:04.023042,2,90,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
