,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
58,58,0.9573927560426798,2025-01-03 21:03:33.282790,2025-01-03 21:03:38.282479,0 days 00:00:04.999689,2,115,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.6756690700232189,2025-01-03 21:03:38.282807,2025-01-03 21:04:15.797679,0 days 00:00:37.514872,10,110,135.0,,,,,,,,,,,10.0,70.0,165.0,170.0,155.0,35.0,50.0,65.0,COMPLETE
60,60,0.9506937658784445,2025-01-03 21:04:15.798392,2025-01-03 21:04:19.251376,0 days 00:00:03.452984,1,90,,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.9591344414827017,2025-01-03 21:04:19.251746,2025-01-03 21:04:24.675958,0 days 00:00:05.424212,2,100,75.0,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.9430445811259764,2025-01-03 21:04:24.676350,2025-01-03 21:04:31.400353,0 days 00:00:06.724003,4,135,60.0,,,,,,,,,,,125.0,100.0,,,,,,,COMPLETE
63,63,0.9520208022092445,2025-01-03 21:04:31.400746,2025-01-03 21:04:36.754639,0 days 00:00:05.353893,3,105,110.0,,,,,,,,,,,140.0,,,,,,,,COMPLETE
64,64,0.9594055110759667,2025-01-03 21:04:36.754977,2025-01-03 21:04:40.292497,0 days 00:00:03.537520,1,85,,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.9590189190854748,2025-01-03 21:04:40.292834,2025-01-03 21:04:44.474367,0 days 00:00:04.181533,2,60,85.0,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.8315121468640743,2025-01-03 21:04:44.474741,2025-01-03 21:04:55.206492,0 days 00:00:10.731751,5,130,120.0,,,,,,,,,,,165.0,190.0,195.0,,,,,,COMPLETE
67,67,0.9611165845648604,2025-01-03 21:04:55.206895,2025-01-03 21:05:01.156231,0 days 00:00:05.949336,3,100,160.0,,,,,,,,,,,140.0,,,,,,,,COMPLETE
68,68,0.9579831932773109,2025-01-03 21:05:01.156641,2025-01-03 21:05:05.146086,0 days 00:00:03.989445,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
69,69,0.3549370174725721,2025-01-03 21:05:05.146405,2025-01-03 21:05:59.869178,0 days 00:00:54.722773,15,75,160.0,120.0,60.0,200.0,155.0,115.0,,,,,,55.0,120.0,60.0,30.0,30.0,100.0,115.0,200.0,COMPLETE
70,70,0.9605542928367182,2025-01-03 21:05:59.869865,2025-01-03 21:06:06.679476,0 days 00:00:06.809611,3,90,185.0,,,,,,,,,,,100.0,,,,,,,,COMPLETE
71,71,0.9494524866004745,2025-01-03 21:06:06.679819,2025-01-03 21:06:11.453961,0 days 00:00:04.774142,2,100,145.0,,,,,,,,,,,,,,,,,,,COMPLETE
